name,ssn,income,address,phone_number,matching_key
노영수,940727-2509732,95784097,세종특별자치시 세종시 다정동,010-3701-7378,8882a204342d78aadc554079941df46b678c7a5a31fb47353dc260ad33337d1c
이지후,821021-1259752,18249813,부산광역시 영도구 남항동2가,010-4676-2885,ea54edc4c3f971f9a8e3c197e43c0684cd95ec7d7cb33f8474c6a7012153c517
김선영,640331-1315318,52041066,경상북도 영덕군 영해면 괴시리,010-2899-8242,d589a9e3a138ce367be763c4ab6db544afc12e35018ab06b314628c20573e4a4
양상훈,440319-2278365,82993376,충청남도 천안시 동남구 목천읍 동리,010-6322-5868,ee304b3d3e9545a40d16eceb1832648eb473bfea6b7341e96caf8752cbaaaf7f
강보람,520126-2755646,76305485,경기도 고양시 덕양구 도내동,010-1783-8290,f7fb241539ec5f1396dbc730700489bfcfb4aeffa40666b5984c355844696fbb
이지아,920917-1735106,22017575,세종특별자치시 세종시 전의면 영당리,010-7796-8157,93b6632bbeb47be72deaae77b43761f7ef6f2a21122d88fffec422913bda4812
손미영,480714-2897685,58952435,서울특별시 구로구 구로동,010-1665-5644,168c3d834e444c4e019f87762aebf70216d2a080efdf1ff208e756d0e294476c
이옥자,500131-1763849,80516207,인천광역시 남동구 서창동,010-6105-6696,0fa3b92dcb64358f533d4d9301de7883048284b8871d73676225e32ba1d02b01
박영진,511007-1538057,86048186,충청남도 당진시 정미면 승산리,010-1294-1573,3fba4a89302c777c93b6c4ba0a045fe3c40235eebdb9322165b76d0efe4d65c6
최성진,800927-1701007,94165032,대전광역시 대덕구 오정동,010-4688-8716,7868e7eb1479a1307d0923b2d78b6eea69abb985a3cfdae1b08aa707e8c993a3
김민수,951125-2836117,54430668,인천광역시 옹진군 덕적면 서포리,010-3582-5141,2c7d205f5804b5010abaff7823d814fae0f60cb013df91eb71640f685d394bcc
권서영,640103-1182845,46398596,세종특별자치시 세종시 새롬동,010-6194-6999,1c6245297e64b52abada58a88389beeb414d09ebe34f66afe090dd60400d2a20
박정남,560225-1729125,59827854,전라북도 장수군 산서면 백운리,010-6877-2000,45ac20664c6ce18c3318edcc7842d8d93921046ffbac0ec993374b21d0f2e025
송채원,891020-2385391,14745582,세종특별자치시 세종시 장군면 송문리,010-6541-5452,ad1bf6f289d57ba56fb5dec95682acb6e049104d1427679f147277ca304762ea
김동현,060401-4436684,90447517,전라남도 진도군 지산면 인지리,010-5776-4946,c6fc1710c027dd28e79d80a8470d8d3c8ce5e71e755af0c3d509e7950ab38179
장영진,690630-1007717,27238197,서울특별시 성동구 금호동4가,010-3786-8131,b70d1e3f753a5d21f2e21fa88a4a50449ce4460a15b1f563c6733b682d30cbdf
이예준,440404-1729045,38485359,충청북도 괴산군 불정면 삼방리,010-7555-6779,61cd249c0cb0fa249eebfca310098afe5525b175fc3d94a2f2207b89104aa180
강지민,600313-1798934,30573981,서울특별시 동대문구 장안동,010-1544-4803,d913d990c961d7b17fc14edee8db7110db6d2394d12f85def34777bf42749ac3
송서윤,940320-2119589,80662503,충청북도 청주시 흥덕구 오송읍 상정리,010-3813-3156,ed1a543cc793e2aacb5951a4704cac1afc7441646b7e7c31a17ca62a6568a9b9
김민석,840628-2240391,87038301,광주광역시 광산구 동호동,010-5137-6935,5ea148118946e821af08ea7ab64aa9df33b85ddfeede47c1937b72327ee8af81
이옥순,880229-1773639,30191872,경기도 하남시 배알미동,010-4328-6526,a14ccca375ca4f9c2306f978c72dd8d552c7983c1eedae9de57c65388fbf6554
한순옥,050714-3611833,96486987,전라북도 완주군 화산면 운제리,010-9127-2767,17034826c1413c6d9dddbf9c2f2f2bda31d49a92a2e9d6d83dfca33422ee8a88
주은정,610622-1328389,37086066,전라남도 진도군 지산면 보전리,010-9895-2696,d5d92bf683ded18ccb6c5d7348d17f8ea8f27fc7f35a6ae4b57839bd4781a5ed
최영철,650106-1724623,26854164,대구광역시 동구 미대동,010-7994-4693,127ed4e156990e801247614522838069c2f0d9682d7538a8ff15d6f29ccd0a19
김지원,530112-2283134,42683163,울산광역시 동구 화정동,010-4029-7469,206804dc480e6595cd8819f67ab2351388dd2b1baf866f2cac1cb58aafbbb130
김지현,970202-1663391,15060649,전라북도 익산시 여산면 태성리,010-5187-2329,6e3dc03f7ebe9c950a793d17c7475904302e13ae9885c935d61127e4871d42f0
전영일,040122-4273269,14391104,세종특별자치시 세종시 한솔동,010-6176-5986,778b143571b43873abbffe0dc1cf5c948bcc7dad46b884a704ae3c1c0db53b00
김서준,660715-1464728,44654774,광주광역시 서구 쌍촌동,010-8149-7061,086050be4bfb6660e35a43c8038813e042fabc33d30daeaa9ed592ecaa1eeca2
박현준,560306-1503993,72558357,경상남도 창녕군 남지읍 남지리,010-4316-5781,91d2bc42a76479188993771356bb8ccaea0adba82e7d0cd122254f69e9eb3528
윤지훈,050717-4141190,93485962,경상북도 구미시 옥성면 구봉리,010-6274-2650,3489b67000045ee20f1972306cf7054073733f1511676f074c376d587540abc2
윤서윤,101012-3934605,33110225,전라북도 전주시 완산구 전동,010-2235-7609,2dd496e7f64dc4ed213973a88a113e26d154ecd552b5d9e96faae169c0df7a67
허현정,500128-2728254,61964028,대구광역시 북구 읍내동,010-3040-3305,a7c5a2157e7d16615e75870e27ee42b16818f0cf65a65d2acca0ae2301158fa3
박승민,710622-1395993,5570131,부산광역시 북구 금곡동,010-8451-6744,6319eb851c0d9ba62f63ce18793045486e9a99ae638f9a6c78e0f628d7e99efa
차현준,950912-2569290,25790879,경상북도 영천시 고경면 덕정리,010-7069-8317,a5aed03928b0d5e9a1bc5babec9128947595f03b1ef3537c96a79b595c01d4c7
김옥자,770315-1468056,51214643,제주특별자치도 서귀포시 도순동,010-9225-8637,fa5e2b5eea756733e8f18e3e3276f14d26944194bdda25239e54637ebb2d19d4
김현숙,070508-4386146,42422683,광주광역시 광산구 연산동,010-6997-3548,3f811b895ebca510beae9b1ecddf02488b3c493d901181ddf9bd9aa0fa542990
고지우,680207-2077609,30145747,경상북도 의성군 안계면 토매리,010-7490-8445,2cd4934aa815be5b7c3e5a229fc3467ab0ede9a867bf941eeb9525689a5514a6
박준호,520117-2809720,29202765,세종특별자치시 세종시 장군면 금암리,010-6890-4765,24a5b57c77624d6f429dbc0d00511a8ee0019d36a61065a634b59a1423af315d
황도윤,570304-1385839,41489281,서울특별시 노원구 월계동,010-7914-4452,d83548be074d21ced958231828e2b002456df2b60d1614a5fe2a788839353dab
이정수,881019-1398030,82475936,강원도 원주시 지정면 월송리,010-2436-6060,7240ab928ea48c5c4cc592ab85a5bd2f276b3c4bfd140561509459d13cf889a5
김미영,511018-1441110,19502207,울산광역시 북구 시례동,010-4220-6556,a8bd1c5509fbfd4c6e954544ae1cbce2d66a0c713265805383db5fc04a3e4402
박중수,470508-1406773,57243899,전라남도 영광군 법성면 화천리,010-2625-7015,dd875d89d28e7ef882cde5fdadceacdb1face6e639121ab21d3b34470925c3a7
안선영,470329-2487824,52497197,충청남도 서산시 지곡면 환성리,010-6974-5291,5f6554b28b553a23c394d29be52badf57d86e88f920cb0d29e8e06258141dce0
김영호,900328-2781651,26868317,세종특별자치시 세종시 연동면 다솜리,010-4998-1462,173b211ecb21338351f653f8fead771608e981e6eba6c37fb39833beb42cbfd1
이도윤,510702-2841196,65693398,강원도 횡성군 횡성읍 영영포리,010-1066-2032,36a6784fcf086adb5d9f16816d6871d50dc4a1fb4cebbe7dbd293f9df790ae19
이도현,591015-2506223,32112500,대구광역시 북구 연경동,010-8686-6155,0828f60fcaca55e1114114ba08c60fde57344ccd90dfed7287b43fd47e0d6133
장상철,521207-1090255,44652635,전라남도 여수시 화정면 적금리,010-9730-5519,3993531b0cd09a03d4e23fc5192b0a006bbf6c075c698e8a5b2f2e40384cebb7
차민수,630827-2020139,54684567,충청북도 청주시 상당구 용정동,010-4940-7999,4b8a6fc95b1d564926cd8d2e3c78fcae4928f22980f12250a27b46b6622a172e
김정남,891219-2481448,46744839,울산광역시 중구 장현동,010-3074-6753,47835788891925e2b0fd8eaf84b2ec01aade4f6492cd85fbdf88da1d22176248
김순자,860323-1062952,59137374,인천광역시 서구 당하동,010-7344-7306,8d452d7c98a6f35e34dced0417d7586a6e80daaa3952a8c62800c5a0756ab2f5
김예은,770125-2599601,26246300,전라남도 나주시 석현동,010-7977-4603,58d84017df7644d8229ab5d6ae194c49ccb67827aad94087484a79bd12b5e5a4
박지훈,100816-3142868,74290518,경기도 여주시 창동,010-8584-5850,caaa5bffc3cd0a24a3de6d1588e82de110ff462842b399dce9a366d3863803ec
이상철,980622-2774453,11355750,경기도 시흥시 목감동,010-4233-9362,18da63d93ee99abb80671932bbee84e691c97ba20cfa661b11a47b3c6c6cd9f2
김정남,830314-1875427,92278691,대구광역시 수성구 수성동3가,010-8709-3284,baad5c2240ca64dddb02d3bc04957075d632cfde9627eced818a0f16d3874775
이은경,841214-2552163,8906013,대전광역시 중구 선화동,010-4266-6707,ff594a3c331ef6c430aaf44344912d4115f7788a5b6adb812bf59c1001698547
김하은,120818-3412796,54725851,전라남도 목포시 명륜동,010-4747-2034,7549d29e6d0a1bd6a3042bd120bdaaa4dfff3c4757b5a08f8cbdc8966a9d5cd3
전예진,690207-1941852,83057050,인천광역시 부평구 갈산동,010-5504-9902,4f122cf040335ec3b4ef7937c8db0340fefb8382e9ede1faee474db5fe7ea1cf
박지민,920823-1643942,89882745,세종특별자치시 세종시 다정동,010-2529-7638,c9cbb599d8ef58c22906cbc79a5f6525be889660484a89cfa0ecbe8ebcf1bc3e
최서윤,040113-3766938,45344797,서울특별시 성북구 동선동4가,010-8013-4636,900cea00b0ed8e35f917fb43b982e7ced660471c7e0518c5a9b1bd46231e1bcf
김은지,671217-2898808,27435452,대전광역시 대덕구 연축동,010-3950-8184,fda6c41a81c5ec78aa3272d2b61af6529b0d79236adaec6ca1e9fe24dc058cc7
최승민,810828-2250287,53778740,충청북도 청주시 상당구 가덕면 한계리,010-1684-2314,7f1186bb565fd025cee775328cfa76ac72ddc8a87f3bf3444f7507565853082b
남성현,770103-1181830,39945022,인천광역시 미추홀구 용현동,010-8443-5211,8d7a657a6e6ed365d9d92d1bc832c80990bf6b2be02110030fca4d3933b9b08b
남영식,730402-1404260,86462636,광주광역시 광산구 덕림동,010-1697-4746,b6cc90e487703b6e0b4bed3b002718979fcbe0573fa6f5c9a1a1d59a7ce48421
이경숙,090806-3403255,97167146,부산광역시 서구 토성동1가,010-7293-5649,64c037719008e8870f522b317f55ce6accc3f208fc9b940b4c4f42c427cefdf8
김중수,840329-1911886,74334888,세종특별자치시 세종시 전의면 달전리,010-8203-8264,c1b5120f322f1db306cd876cb79d7c623f3acc089552dd233fdf3d39a1a1c60c
류서영,910412-2568988,90263629,경기도 의정부시 신곡동,010-4641-4921,bdacb0ca1504495399db7481ccf5e657ada76e6243f1055b4d5db27dd9b71b78
이성수,680224-1307467,27565296,경상북도 안동시 일직면 국곡리,010-7436-8824,8dbb784bfcb447dbd3cac33e489953fb41d300bb8f381d2f8f5fc0f05e885357
김민수,770716-1346832,85322835,경상남도 김해시 진영읍 의전리,010-7635-1428,a15b309774501b359911d902d41a6e7f8da8d944756c207783002c6ec50942f4
김윤서,970319-2048359,25265133,광주광역시 광산구 지죽동,010-2030-1764,9d56c51745123e73ca573c4874ef835139908d979b26e9bae86fdb128e08d302
고상훈,011217-3523518,4639510,강원도 평창군 용평면 장평리,010-6927-3075,aa7e5c724678b7a5b436840340e1b592ec0d60e78f617d2470dbafa2ca350a81
최중수,920813-2272755,15659614,부산광역시 금정구 장전동,010-2697-3460,66fd34c39fd33a1ccca8b7f9617810f78c875918095ddc92871e2d02b4a99734
김지훈,600801-1422735,29083714,세종특별자치시 세종시 연서면 고복리,010-2708-5554,6c8512a439980dc573f4d10c0b708a54ce939fde348a0423243ff3dac147631b
최미영,790512-2753553,88386757,서울특별시 마포구 창전동,010-7679-2214,03bb53439dbe802c249f0f358a4ba94d396edec94d32c47adacfa8fe98a41c10
전수민,970603-1423982,59263563,서울특별시 동작구 사당동,010-4195-4213,e46fc6b06bad1a4141b59d95bc9384676fea8e868155eda57b6c38e8a43915da
