성명,주민번호,주소,전화번호,이동동선(통신사)
김수민,660301-1126225,충청남도 화천군 잠실길 지하430,070-1819-6001,서초구→송파구 (KT)
최준서,550211-2133326,울산광역시 성동구 영동대407로 지하81,042-654-2351,노원구→강남구 (KT)
류은정,980923-1850800,울산광역시 강북구 가락25거리 719-88,011-310-3413,해운대구→노원구 (SKT)
강보람,911220-2948749,경기도 용인시 기흥구 강남대3거리 지하672,042-764-8350,유성구→수성구 (LGU+)
손재현,620125-2263032,전라남도 고양시 일산서구 서초대가 882 (성진김리),041-388-4969,서초구→성북구 (KT)
이은서,780826-1476417,울산광역시 동대문구 압구정482로 624-26 (준서김마을),051-801-8451,성북구→서초구 (KT)
최예지,600626-2182627,강원도 음성군 테헤란가 272 (현숙남권읍),054-430-3911,해운대구→서초구 (LGU+)
이정숙,731029-1793384,인천광역시 영등포구 압구정로 70,064-771-3315,해운대구→서초구 (KT)
고명자,661202-2391476,경상남도 원주시 봉은사로 434,018-738-2997,수성구→유성구 (KT)
문도윤,880209-1802729,제주특별자치도 삼척시 선릉길 지하474,017-106-5133,송파구→남동구 (LGU+)
유시우,980917-1584714,경상남도 고양시 일산동구 도산대6로 949 (우진한서마을),010-1080-1326,수성구→강남구 (LGU+)
박서연,651119-1961722,제주특별자치도 고성군 도산대로 610 (영숙김동),031-980-5009,남동구→서초구 (SKT)
최은경,561022-1694731,인천광역시 강북구 테헤란475로 637-73 (민재김면),032-699-8543,성북구→송파구 (SKT)
이도윤,670329-2246413,부산광역시 북구 강남대로 160-35 (수민오김면),052-278-4980,유성구→성북구 (SKT)
김하은,570516-2329974,경상남도 천안시 서북구 잠실1로 37-48,017-640-0524,강남구→송파구 (KT)
김미정,700703-1757924,충청남도 동두천시 선릉로 802,031-533-1586,서초구→성북구 (LGU+)
송채원,960217-2724834,전라남도 용인시 처인구 언주로 337-36 (현숙이마을),051-216-0733,강남구→송파구 (LGU+)
나영철,020907-2905934,전라남도 영동군 선릉816길 726 (건우유박읍),033-429-4019,유성구→송파구 (SKT)
김정남,710815-2103402,대구광역시 중랑구 오금29거리 854 (재호김마을),053-148-4656,서초구→수성구 (LGU+)
이영희,890328-1260263,부산광역시 서구 오금거리 151 (동현나마을),064-772-1489,노원구→강남구 (LGU+)
김영순,861125-2612340,충청남도 안산시 상록구 도산대317길 573 (하윤손강마을),043-676-3201,해운대구→강남구 (SKT)
백시우,621124-1694916,세종특별자치시 용산구 언주55로 237 (영자한김리),063-743-4873,노원구→송파구 (KT)
박도윤,970405-1791798,울산광역시 남구 잠실893가 447 (도윤이장리),055-909-6705,노원구→유성구 (SKT)
홍하은,041018-1665492,충청북도 성남시 수정구 개포37거리 285-97 (영철김김마을),010-0699-0162,수성구→노원구 (SKT)
곽상현,580413-2226882,충청북도 영월군 석촌호수길 786,017-003-3092,강남구→남동구 (SKT)
조진호,910602-1107540,충청남도 성남시 분당구 봉은사거리 지하825 (은정최동),042-419-0496,서초구→강남구 (KT)
이성호,800802-2174299,경상북도 안산시 상록구 백제고분776거리 851,053-067-1657,성북구→해운대구 (LGU+)
이예원,930120-1858490,충청남도 광주시 삼성94로 88 (예지박읍),011-965-0752,성북구→유성구 (KT)
윤예지,950322-1198907,제주특별자치도 고성군 선릉855가 258-30 (예지이마을),032-436-3495,유성구→성북구 (SKT)
한서연,920613-2864491,전라남도 안산시 상록구 압구정824로 300-90,051-989-4134,유성구→수성구 (KT)
윤지아,600106-1360735,세종특별자치시 성동구 개포가 645-88 (성진송면),02-9477-7520,송파구→성북구 (SKT)
김영호,760103-1392075,전라북도 보령시 백제고분로 271-85 (성현김동),016-938-6774,노원구→서초구 (SKT)
이정수,780930-1783823,경상북도 부천시 원미구 가락길 74,031-344-7134,해운대구→송파구 (KT)
안예준,961025-2609231,경상남도 안양시 선릉거리 지하257 (상철차마을),052-717-4648,송파구→성북구 (KT)
김지연,960903-1509386,경상남도 안양시 만안구 영동대55로 422-89 (우진노송마을),011-027-8742,유성구→노원구 (SKT)
김상훈,600910-1299122,세종특별자치시 관악구 도산대4길 902 (상훈우조읍),055-808-7603,노원구→강남구 (LGU+)
이경숙,750804-2159942,울산광역시 서구 서초중앙7길 944 (지아이리),044-171-2748,노원구→송파구 (LGU+)
안상훈,541129-1632496,대전광역시 금천구 반포대33가 45 (옥자한송리),070-4997-2787,서초구→남동구 (KT)
안은지,620716-2225710,경기도 옥천군 선릉길 801 (정웅한윤면),031-289-5171,서초구→성북구 (LGU+)
고영미,701206-2373432,강원도 태백시 가락로 711,019-780-9134,남동구→성북구 (KT)
김성진,570823-1804318,충청북도 안산시 상록구 백제고분가 935,054-562-3869,서초구→강남구 (SKT)
김은주,780321-2751332,광주광역시 관악구 강남대43가 243-49 (서영진이리),018-074-8217,해운대구→수성구 (LGU+)
최정수,921004-1465962,전라북도 청주시 서원구 가락로 808-57,031-974-3953,송파구→노원구 (SKT)
이민수,010304-2741390,대구광역시 강북구 양재천517로 881 (현정송이리),053-623-2858,노원구→남동구 (LGU+)
박영길,890204-1240814,대전광역시 동작구 가락로 665-53,018-496-5137,노원구→송파구 (LGU+)
김광수,050729-2395442,충청북도 강릉시 서초중앙가 707 (영수박김면),033-138-2675,남동구→노원구 (KT)
임영철,040826-2987204,경기도 성남시 수정구 언주9길 213,054-064-3171,강남구→서초구 (SKT)
송서현,940410-2908577,서울특별시 광진구 영동대길 17-23,016-042-2842,성북구→유성구 (KT)
김승현,600730-1217308,경기도 영동군 반포대007가 지하703,032-775-8917,강남구→유성구 (LGU+)
오시우,000823-1550664,울산광역시 동작구 반포대961로 441-58 (지후류리),053-921-2499,강남구→유성구 (SKT)
김승현,880913-1815198,대전광역시 동구 잠실로 576-43,054-271-1116,노원구→유성구 (SKT)
이채원,021012-1348237,충청북도 태안군 언주5거리 588-29,061-049-4519,강남구→해운대구 (SKT)
홍현지,960709-2920391,대전광역시 은평구 역삼길 72 (옥순우동),016-809-4024,송파구→서초구 (SKT)
김영자,720302-2140605,경기도 청주시 서원구 강남대가 622-57,054-459-9102,수성구→남동구 (SKT)
김영일,720520-1333752,경기도 파주시 양재천길 297-42 (건우신읍),033-497-8403,수성구→남동구 (SKT)
박상현,830411-1910891,대전광역시 영등포구 석촌호수64로 990,018-516-0607,노원구→수성구 (SKT)
송우진,970319-1220944,울산광역시 남구 삼성5길 지하523,054-161-3696,서초구→성북구 (KT)
박서연,940515-2863934,강원도 안산시 상록구 반포대979거리 451,054-231-2432,유성구→해운대구 (KT)
박성민,681015-2146542,대전광역시 서구 학동199가 568,031-581-4770,해운대구→유성구 (LGU+)
서경희,010221-2173372,강원도 가평군 서초대길 725-57 (미영강이면),011-359-7820,서초구→수성구 (LGU+)
황정수,570614-2799287,대구광역시 노원구 석촌호수길 991 (서준오김마을),017-515-1864,남동구→송파구 (LGU+)
안준서,881215-1540869,충청남도 가평군 논현2길 865,070-8168-5054,남동구→성북구 (LGU+)
박유진,920614-1418635,충청북도 안산시 단원구 반포대로 693-93,064-705-9296,수성구→노원구 (LGU+)
박서준,921215-2563638,경상남도 단양군 개포862길 894 (민석박이동),062-383-4735,송파구→서초구 (SKT)
박미정,590122-2640490,전라남도 수원시 팔달구 도산대85길 384 (도윤남면),042-478-2613,해운대구→수성구 (KT)
김수빈,970205-1945742,인천광역시 서구 잠실가 244 (상훈김윤마을),019-277-9010,해운대구→노원구 (KT)
김지후,850320-1577538,인천광역시 영등포구 역삼185로 520 (준혁박리),02-8932-4609,유성구→노원구 (LGU+)
김경자,941230-2355836,대구광역시 서구 서초중앙221가 207-6 (지우이면),054-319-5205,유성구→해운대구 (KT)
진유진,670913-1943170,울산광역시 북구 반포대52가 947 (은정서김마을),017-345-0541,노원구→해운대구 (KT)
김수진,600106-1578634,세종특별자치시 중구 백제고분40로 526-96 (하은김마을),053-447-9627,노원구→수성구 (LGU+)
이미정,661026-2742412,전라남도 양주시 학동285가 256-15 (옥순박리),017-556-9092,송파구→노원구 (SKT)
김지영,900908-2371782,충청북도 보은군 학동551거리 지하872 (예은남읍),043-947-3121,성북구→해운대구 (LGU+)
박미영,650111-2561239,제주특별자치도 부천시 오정구 학동거리 539-53 (정숙김우동),041-370-5895,남동구→유성구 (KT)
장성현,990723-2666390,전라북도 안산시 삼성길 917,010-9226-8018,유성구→송파구 (KT)
김병철,030722-1167348,충청북도 태안군 석촌호수0로 272,051-249-8182,성북구→유성구 (LGU+)
황영자,870516-1316881,강원도 청주시 청원구 역삼가 476 (정호김면),063-844-7364,유성구→노원구 (LGU+)
고현지,610613-1468845,세종특별자치시 성북구 봉은사로 885-79 (영철문김면),054-881-5371,노원구→해운대구 (SKT)
오서연,621128-2330080,제주특별자치도 홍천군 논현거리 289-64 (우진김김읍),064-777-4701,유성구→수성구 (KT)
서지연,730611-2859359,울산광역시 구로구 잠실99로 404-48,055-098-3584,노원구→강남구 (KT)
이현정,930414-2720644,전라남도 영월군 테헤란825거리 632-95,043-986-8000,유성구→송파구 (KT)
최예진,801010-2290556,전라북도 옥천군 백제고분가 592-30 (서윤김마을),063-947-0551,해운대구→노원구 (SKT)
이지은,670218-2453894,충청남도 원주시 도산대283거리 386 (하은박박마을),011-130-7562,서초구→노원구 (SKT)
황정웅,870804-1885408,인천광역시 도봉구 논현757거리 295 (서영정리),019-497-3348,서초구→강남구 (KT)
곽지원,690805-1359295,광주광역시 광진구 백제고분길 686-68 (순옥김리),052-157-4733,송파구→남동구 (LGU+)
박정수,611016-1596564,부산광역시 관악구 잠실로 904,010-2677-3454,남동구→유성구 (SKT)
심경희,970605-1735324,대전광역시 도봉구 가락872가 829-15,063-240-0499,남동구→서초구 (KT)
서재호,910607-1427110,부산광역시 서대문구 역삼길 959-32 (영호김면),02-5493-2966,해운대구→서초구 (SKT)
이정희,550514-1206851,제주특별자치도 제천시 봉은사459길 490-20 (옥자조이마을),017-530-1742,서초구→강남구 (LGU+)
권지원,961120-2658623,서울특별시 서구 석촌호수길 875-67,044-918-7851,노원구→수성구 (KT)
