이름_A,주민등록번호_A,전화번호_A,주소지_A,차량번호,_join_hash_,이름_B,주민등록번호_B,주소지_B,전화번호_B,이동동선(통신사)
김수민,660301-1126225,070-1819-6001,충청남도 화천군 잠실길 지하430,45나 4657,ff765bdbeee4961a1f63994ba568c7b19bece8854b8ad3764aabb9457fc00cb7,김수민,660301-1126225,충청남도 화천군 잠실길 지하430,070-1819-6001,서초구→송파구 (KT)
최준서,550211-2133326,042-654-2351,울산광역시 성동구 영동대407로 지하81,13가 4582,63f3de02ae76e58eef868a1d1f8f1fa52889127e5fd2bc9ff52e860fa539070b,최준서,550211-2133326,울산광역시 성동구 영동대407로 지하81,042-654-2351,노원구→강남구 (KT)
류은정,980923-1850800,011-310-3413,울산광역시 강북구 가락25거리 719-88,93거 9928,11e4bfdea172cc714bf951c488f08898519b9b12f3f35ce7dcb5fd3da5e44c6c,류은정,980923-1850800,울산광역시 강북구 가락25거리 719-88,011-310-3413,해운대구→노원구 (SKT)
강보람,911220-2948749,042-764-8350,경기도 용인시 기흥구 강남대3거리 지하672,10고 3615,781303e2707476e46c66f654594dce7197ed82834a25d9d3457ac61673cb91dc,강보람,911220-2948749,경기도 용인시 기흥구 강남대3거리 지하672,042-764-8350,유성구→수성구 (LGU+)
손재현,620125-2263032,041-388-4969,전라남도 고양시 일산서구 서초대가 882 (성진김리),37고 6514,0ebcf87e2a80c2505ce9e19b3864910fcbb7611e5147e5da8769998236fbb537,손재현,620125-2263032,전라남도 고양시 일산서구 서초대가 882 (성진김리),041-388-4969,서초구→성북구 (KT)
이은서,780826-1476417,051-801-8451,울산광역시 동대문구 압구정482로 624-26 (준서김마을),54마 5333,0a39a6afdf6c29a5ebe668168c1fc9ccffdae30de5eed81a07e6d53eb9094305,이은서,780826-1476417,울산광역시 동대문구 압구정482로 624-26 (준서김마을),051-801-8451,성북구→서초구 (KT)
최예지,600626-2182627,054-430-3911,강원도 음성군 테헤란가 272 (현숙남권읍),80다 6925,09ffb89bbcbc7ce54903aebfce003d0a6edffa17e09d26e561467a9aac71cff3,최예지,600626-2182627,강원도 음성군 테헤란가 272 (현숙남권읍),054-430-3911,해운대구→서초구 (LGU+)
이정숙,731029-1793384,064-771-3315,인천광역시 영등포구 압구정로 70,39고 5741,c8cb17f6781adde808abf33629fc36ce57983d2b26ac33ff9562a427ff1f5e03,이정숙,731029-1793384,인천광역시 영등포구 압구정로 70,064-771-3315,해운대구→서초구 (KT)
고명자,661202-2391476,018-738-2997,경상남도 원주시 봉은사로 434,68거 6977,34cda48077af1211e9f5e3f8b881c570ac8eb732fb7b9086912f12a16d8ea0d5,고명자,661202-2391476,경상남도 원주시 봉은사로 434,018-738-2997,수성구→유성구 (KT)
문도윤,880209-1802729,017-106-5133,제주특별자치도 삼척시 선릉길 지하474,44거 2169,d76119bb5a917ff99ea00e53d60a9b00a1bbc66fcff14e5a74f3e25414759ebd,문도윤,880209-1802729,제주특별자치도 삼척시 선릉길 지하474,017-106-5133,송파구→남동구 (LGU+)
유시우,980917-1584714,010-1080-1326,경상남도 고양시 일산동구 도산대6로 949 (우진한서마을),58다 4598,e502512d7e125710419a7b98d03c8491264f6f2143f595541fed4f508823280f,유시우,980917-1584714,경상남도 고양시 일산동구 도산대6로 949 (우진한서마을),010-1080-1326,수성구→강남구 (LGU+)
박서연,651119-1961722,031-980-5009,제주특별자치도 고성군 도산대로 610 (영숙김동),14고 6168,c05fecb8ca81b50d3ff5608f1ee8f9f49d10eef76be280cc11a78ee4b3f39c2d,박서연,651119-1961722,제주특별자치도 고성군 도산대로 610 (영숙김동),031-980-5009,남동구→서초구 (SKT)
최은경,561022-1694731,032-699-8543,인천광역시 강북구 테헤란475로 637-73 (민재김면),50나 9179,7d7669da6185cf44160d651d47543cb9128b6f95a3044d1b0edbcc25031df553,최은경,561022-1694731,인천광역시 강북구 테헤란475로 637-73 (민재김면),032-699-8543,성북구→송파구 (SKT)
이도윤,670329-2246413,052-278-4980,부산광역시 북구 강남대로 160-35 (수민오김면),41거 9830,1d640d3b9101041ccfff6ffa7d1583669f9b0ac6a6aeec185ecad7e07ded4219,이도윤,670329-2246413,부산광역시 북구 강남대로 160-35 (수민오김면),052-278-4980,유성구→성북구 (SKT)
김하은,570516-2329974,017-640-0524,경상남도 천안시 서북구 잠실1로 37-48,27마 9085,24ec19651d8070779d3e8e684d205c878886f3b3bbc6ebfd6230e7eefc338b22,김하은,570516-2329974,경상남도 천안시 서북구 잠실1로 37-48,017-640-0524,강남구→송파구 (KT)
김미정,700703-1757924,031-533-1586,충청남도 동두천시 선릉로 802,30고 7916,2fd16944ac5cc7f6defcc1bb932faa8d259d004894c2551f883e340662410250,김미정,700703-1757924,충청남도 동두천시 선릉로 802,031-533-1586,서초구→성북구 (LGU+)
송채원,960217-2724834,051-216-0733,전라남도 용인시 처인구 언주로 337-36 (현숙이마을),69마 5119,5877ebaa4818114f46e296fe853524b5fc924f65b15303234014f82c7527df3e,송채원,960217-2724834,전라남도 용인시 처인구 언주로 337-36 (현숙이마을),051-216-0733,강남구→송파구 (LGU+)
나영철,020907-2905934,033-429-4019,전라남도 영동군 선릉816길 726 (건우유박읍),92다 2827,d696047d8efc88bf2e4f6feaa7af3b8f22a7c5f3419696dc432b1c2557c59b66,나영철,020907-2905934,전라남도 영동군 선릉816길 726 (건우유박읍),033-429-4019,유성구→송파구 (SKT)
김정남,710815-2103402,053-148-4656,대구광역시 중랑구 오금29거리 854 (재호김마을),43마 3927,78d1ae96fc73262788bc96413f06ae064a6d9d91068043e5f3f9cad77ec1c505,김정남,710815-2103402,대구광역시 중랑구 오금29거리 854 (재호김마을),053-148-4656,서초구→수성구 (LGU+)
이영희,890328-1260263,064-772-1489,부산광역시 서구 오금거리 151 (동현나마을),57고 3646,6b9c57621985b41b2f82872bce9626bec74ad2260543faf1a2acde6b61a22b09,이영희,890328-1260263,부산광역시 서구 오금거리 151 (동현나마을),064-772-1489,노원구→강남구 (LGU+)
김영순,861125-2612340,043-676-3201,충청남도 안산시 상록구 도산대317길 573 (하윤손강마을),12가 6947,e205724a83dc1896c1bdf257f31520a320998c111fdbf2387819505829d4d55b,김영순,861125-2612340,충청남도 안산시 상록구 도산대317길 573 (하윤손강마을),043-676-3201,해운대구→강남구 (SKT)
백시우,621124-1694916,063-743-4873,세종특별자치시 용산구 언주55로 237 (영자한김리),20가 8962,09d1680c425b91019093b87862a2d694182fe669e92457bbe0ded14497f2c36f,백시우,621124-1694916,세종특별자치시 용산구 언주55로 237 (영자한김리),063-743-4873,노원구→송파구 (KT)
