차량번호,이동동선(통신사),이름,주민등록번호,전화번호,주소지
45나 4657,서초구→송파구 (KT),김**,6*************,0************,충*****************
13가 4582,노원구→강남구 (KT),최**,5*************,0***********,울*********************
93거 9928,해운대구→노원구 (SKT),류**,9*************,0***********,울**********************
10고 3615,유성구→수성구 (LGU+),강**,9*************,0***********,경***********************
37고 6514,서초구→성북구 (KT),손**,6*************,0***********,전****************************
54마 5333,성북구→서초구 (KT),이**,7*************,0***********,울********************************
80다 6925,해운대구→서초구 (LGU+),최**,6*************,0***********,강***********************
39고 5741,해운대구→서초구 (KT),이**,7*************,0***********,인*****************
68거 6977,수성구→유성구 (KT),고**,6*************,0***********,경****************
44거 2169,송파구→남동구 (LGU+),문**,8*************,0***********,제********************
58다 4598,수성구→강남구 (LGU+),유**,9*************,0************,경*******************************
14고 6168,남동구→서초구 (SKT),박**,6*************,0***********,제**************************
50나 9179,성북구→송파구 (SKT),최**,5*************,0***********,인******************************
41거 9830,유성구→성북구 (SKT),이**,6*************,0***********,부***************************
27마 9085,강남구→송파구 (KT),김**,5*************,0***********,경**********************
30고 7916,서초구→성북구 (LGU+),김**,7*************,0***********,충****************
69마 5119,강남구→송파구 (LGU+),송**,9*************,0***********,전******************************
92다 2827,유성구→송파구 (SKT),나**,0*************,0***********,전**************************
43마 3927,서초구→수성구 (LGU+),김**,7*************,0***********,대***************************
57고 3646,노원구→강남구 (LGU+),이**,8*************,0***********,부************************
12가 6947,해운대구→강남구 (SKT),김**,8*************,0***********,충********************************
20가 8962,노원구→송파구 (KT),백**,6*************,0***********,세****************************
70마 3705,노원구→유성구 (SKT),박**,9*************,0***********,울**************************
98나 6107,수성구→노원구 (SKT),홍**,0*************,0************,충**********************************
41나 2049,강남구→남동구 (SKT),곽**,5*************,0***********,충*****************
19거 1964,서초구→강남구 (KT),조**,9*************,0***********,충******************************
75나 5562,성북구→해운대구 (LGU+),이**,8*************,0***********,경*************************
83마 8744,성북구→유성구 (KT),이**,9*************,0***********,충***********************
22거 8062,유성구→성북구 (SKT),윤**,9*************,0***********,제********************************
16거 2612,유성구→수성구 (KT),한**,9*************,0***********,전**************************
34나 9786,송파구→성북구 (SKT),윤**,6*************,0***********,세****************************
69나 2235,노원구→서초구 (SKT),김**,7*************,0***********,전***************************
79고 1241,해운대구→송파구 (KT),이**,7*************,0***********,경******************
71나 7570,송파구→성북구 (KT),안**,9*************,0***********,경**************************
43고 8454,유성구→노원구 (SKT),김**,9*************,0***********,경**********************************
47나 1958,노원구→강남구 (LGU+),김**,6*************,0***********,세****************************
16마 8811,노원구→송파구 (LGU+),이**,7*************,0***********,울*************************
20고 4044,서초구→남동구 (KT),안**,5*************,0************,대**************************
82나 1651,서초구→성북구 (LGU+),안**,6*************,0***********,경**********************
36거 6147,남동구→성북구 (KT),고**,7*************,0***********,강**************
92다 8491,서초구→강남구 (SKT),김**,5*************,0***********,충*********************
82가 2200,해운대구→수성구 (LGU+),김**,7*************,0***********,광******************************
18나 7054,송파구→노원구 (SKT),최**,9*************,0***********,전**********************
93마 1128,노원구→남동구 (LGU+),이**,0*************,0***********,대****************************
43가 2753,노원구→송파구 (LGU+),박**,8*************,0***********,대*******************
87나 6617,남동구→노원구 (KT),김**,0*************,0***********,충*************************
16가 7939,강남구→서초구 (SKT),임**,0*************,0***********,경*******************
26거 5291,성북구→유성구 (KT),송**,9*************,0***********,서*******************
19거 3442,강남구→유성구 (LGU+),김**,6*************,0***********,경********************
26가 6050,강남구→유성구 (SKT),오**,0*************,0***********,울******************************
41거 2684,노원구→유성구 (SKT),김**,8*************,0***********,대******************
30고 3900,강남구→해운대구 (SKT),이**,0*************,0***********,충********************
62고 5065,송파구→서초구 (SKT),홍**,9*************,0***********,대**********************
70나 4269,수성구→남동구 (SKT),김**,7*************,0***********,경**********************
13거 4164,수성구→남동구 (SKT),김**,7*************,0***********,경*************************
45다 9346,노원구→수성구 (SKT),박**,8*************,0***********,대*********************
43나 5349,서초구→성북구 (KT),송**,9*************,0***********,울******************
50라 9379,유성구→해운대구 (KT),박**,9*************,0***********,강***********************
65가 9518,해운대구→유성구 (LGU+),박**,6*************,0***********,대******************
95다 6143,서초구→수성구 (LGU+),서**,0*************,0***********,강**************************
62다 7592,남동구→송파구 (LGU+),황**,5*************,0***********,대***************************
95라 3851,남동구→성북구 (LGU+),안**,8*************,0************,충****************
46나 8043,수성구→노원구 (LGU+),박**,9*************,0***********,충***********************
96나 9375,송파구→서초구 (SKT),박**,9*************,0***********,경**************************
94거 6491,해운대구→수성구 (KT),박**,5*************,0***********,전*****************************
35나 1400,해운대구→노원구 (KT),김**,9*************,0***********,인************************
63거 4185,유성구→노원구 (LGU+),김**,8*************,0***********,인***************************
28거 1090,유성구→해운대구 (KT),김**,9*************,0***********,대*****************************
99마 8611,노원구→해운대구 (KT),진**,6*************,0***********,울***************************
27고 8612,노원구→수성구 (LGU+),김**,6*************,0***********,세********************************
74라 9976,송파구→노원구 (SKT),이**,6*************,0***********,전****************************
41고 5543,성북구→해운대구 (LGU+),김**,9*************,0***********,충****************************
19거 5681,남동구→유성구 (KT),박**,6*************,0***********,제**********************************
20나 3471,유성구→송파구 (KT),장**,9*************,0************,전***************
63라 6421,성북구→유성구 (LGU+),김**,0*************,0***********,충******************
63라 1320,유성구→노원구 (LGU+),황**,8*************,0***********,강*************************
48고 7389,노원구→해운대구 (SKT),고**,6*************,0***********,세******************************
44라 8956,유성구→수성구 (KT),오**,6*************,0***********,제******************************
31고 8657,노원구→강남구 (KT),서**,7*************,0***********,울*********************
82거 1444,유성구→송파구 (KT),이**,9*************,0***********,전***********************
16다 7211,해운대구→노원구 (SKT),최**,8*************,0***********,전****************************
58다 7906,서초구→노원구 (SKT),이**,6*************,0***********,충*****************************
79가 6733,서초구→강남구 (KT),황**,8*************,0***********,인***************************
35고 1333,송파구→남동구 (LGU+),곽**,6*************,0***********,광****************************
95가 4571,남동구→유성구 (SKT),박**,6*************,0************,부****************
87거 2876,남동구→서초구 (KT),심**,9*************,0***********,대**********************
83거 7149,해운대구→서초구 (SKT),서**,9*************,0***********,부***************************
99고 5941,서초구→강남구 (LGU+),이**,5*************,0***********,제**********************************
64거 7071,노원구→수성구 (KT),권**,9*************,0***********,서********************
63고 9031,유성구→수성구 (KT),장**,7*************,0***********,경************************
29라 3885,노원구→남동구 (LGU+),김**,0*************,0***********,경********************************
65고 5397,해운대구→서초구 (SKT),구**,9*************,0***********,인*************************
41고 8613,유성구→수성구 (LGU+),김**,8*************,0***********,인*************************
51나 8988,수성구→남동구 (KT),이**,7*************,0***********,제*******************
86거 5526,강남구→남동구 (LGU+),이**,8*************,0***********,인******************
62라 4937,성북구→노원구 (LGU+),김**,0*************,0***********,경**********************
12가 5820,유성구→해운대구 (KT),박**,9*************,0***********,경*****************
84다 8753,노원구→수성구 (LGU+),박**,8*************,0***********,충******************************
80다 6764,성북구→남동구 (LGU+),박**,8*************,0***********,경****************************
39가 4155,서초구→해운대구 (SKT),송**,7*************,0***********,부********************
