address,birth_year,blood_type,car_plate,email,family_size,favorite_color,hobby,job_type,marital_status,mobile_carrier,name,pet_type,phone_model,phone_number,residence_type,sns_usage,ssn,vehicle_type,mk_serial_number,matching_key
세종특별자치시 세종시 다정동,1991,AB,576바7063,yeongceoli@oryu.com,5,초록,수영,간호사,이혼,KT,노영수,물고기,Galaxy Z Fold,010-3701-7378,연립주택,사용,940727-2509732,트럭,data2_20250602185128961493_1,496721c4c5911e6737ae29aa2fbe4c71b9a38a6be2831d7d20707511a1a21242
부산광역시 영도구 남항동2가,1981,O,288사5702,jongsugim@baggimhan.com,3,초록,사진,학생,미혼,SKT,이지후,새,Huawei P50,010-4676-2885,오피스텔,사용,821021-1259752,전기차,data2_20250602185128961493_2,6562077e9746a68e93f25c37d954610923c66ffc0b98e928b843c39fcaa9be1f
경상북도 영덕군 영해면 괴시리,1984,AB,376가9799,jeongsigi@igim.com,5,초록,음악감상,회사원,기혼,KT,김선영,물고기,Pixel 4a,010-2899-8242,기숙사,미사용,640331-1315318,트럭,data2_20250602185128961493_3,736a97c714ea35aefef8f1442a707c99d4b3e8ceb3a7bb0fd5a068bc5e984340
충청남도 천안시 동남구 목천읍 동리,1998,A,728다3422,eu@hangimna.net,3,흰색,자전거,프리랜서,미혼,LG U+,양상훈,물고기,Pixel 7,010-6322-5868,오피스텔,미사용,440319-2278365,승용차,data2_20250602185128961493_4,780eac6a328748b26ac0d5434a0eb1e2e565db8aad3041864839f4bc3232c05c
경기도 고양시 덕양구 도내동,1980,AB,380나1455,jiubag@jusighoesa.kr,4,흰색,등산,프리랜서,미혼,KT,강보람,없음,Realme 8,010-1783-8290,아파트,미사용,520126-2755646,버스,data2_20250602185128961493_5,90824f97e5dcf1f2219eec945ceaf1f791d7c0c044cb8d9d4e6ac47f1f73517b
세종특별자치시 세종시 전의면 영당리,2009,A,708마5593,yeonghyigim@yu.com,5,노랑,쇼핑,간호사,이혼,LG U+,이지아,물고기,Sony Xperia 5 II,010-7796-8157,연립주택,미사용,920917-1735106,자전거,data2_20250602185128961493_6,783ccfbfe218f7cd5d44a95d7ed362f77b954845d5673491daaa3c14de389495
서울특별시 구로구 구로동,2005,B,477사7563,fi@ju.kr,3,주황,자전거,자영업,사별,KT,손미영,새,Vivo Y72,010-1665-5644,기숙사,사용,480714-2897685,SUV,data2_20250602185128961493_7,3adab0e7d06a5d10dacd44a521e86a009c397e4588ba925b2b61a1c01260f5ea
인천광역시 남동구 서창동,1998,O,978사8453,yangjihyeon@hwangi.kr,3,보라,게임,의사,이혼,LG U+,이옥자,강아지,Xiaomi Poco F3,010-6105-6696,연립주택,미사용,500131-1763849,버스,data2_20250602185128961493_8,d50ee362ccaca4b7cbaa0e05bde764a094d57984e3e68908279a83779ecb103b
충청남도 당진시 정미면 승산리,1998,O,674라7325,jyang@ju.com,1,보라,게임,연구원,사별,SKT,박영진,햄스터,Galaxy Z Fold,010-1294-1573,아파트,미사용,511007-1538057,전기차,data2_20250602185128961493_9,939b6f6a8be948dc4c719485f1144f5427c8993c59f5616a324ef2a6257458ed
대전광역시 대덕구 오정동,1994,O,853라8726,ti@ju.org,2,파랑,사진,회사원,사별,KT,최성진,고양이,Motorola Moto G Power,010-4688-8716,오피스텔,사용,800927-1701007,자전거,data2_20250602185128961493_10,4ef2974cfdc1ef6dc366ca0e9fb1aec7c30828fe1f1754749498667578aab0fe
인천광역시 옹진군 덕적면 서포리,1988,AB,391가6153,yeongho20@ju.com,5,회색,요리,공무원,기혼,LG U+,김민수,햄스터,Galaxy S21,010-3582-5141,원룸,사용,951125-2836117,전기차,data2_20250602185128961493_11,b1b4df47f3bb44610946f7573a2a3d42d585981ae015a1a8586d7e163c14012e
세종특별자치시 세종시 새롬동,2006,A,348라5744,gimhyeonji@ango.kr,3,검정,요리,자영업,사별,LG U+,권서영,강아지,LG Wing,010-6194-6999,연립주택,미사용,640103-1182845,버스,data2_20250602185128961493_12,e595bacd6ecae0a7852e0a069f861ccbfba8e8c6f638155820851009b8a55cf1
전라북도 장수군 산서면 백운리,1994,AB,266다6879,yejungim@hanam.kr,6,분홍,요리,연구원,사별,SKT,박정남,파충류,Vivo Y72,010-6877-2000,연립주택,미사용,560225-1729125,오토바이,data2_20250602185128961493_13,287986982386736fb59454afe1739d871618b1f343031e7d8cda0304dce37436
세종특별자치시 세종시 장군면 송문리,1992,AB,776가7738,ogjai@yu.kr,2,주황,자전거,디자이너,사별,SKT,송채원,햄스터,iPhone 13,010-6541-5452,원룸,사용,891020-2385391,오토바이,data2_20250602185128961493_14,5343f2f549944b52bc70c6c65203752affcee5e2ef3c0b7c71c5d6a26a313965
전라남도 진도군 지산면 인지리,2009,O,900가1083,gimeungyeong@yuhanhoesa.kr,6,회색,수영,교사,기혼,LG U+,김동현,새,Motorola Moto G Power,010-5776-4946,기숙사,사용,060401-4436684,자전거,data2_20250602185128961493_15,99e0780f0b100144ad5b566975c016e2daac4c27ad460292cacb17c56cb685ac
서울특별시 성동구 금호동4가,1993,AB,158바8142,gimseojun@ju.net,3,회색,수영,마케터,미혼,SKT,장영진,햄스터,Galaxy A12,010-3786-8131,아파트,사용,690630-1007717,SUV,data2_20250602185128961493_16,f9d8372c3cb3c5266de9df9def07d64e8368423bced256e5670a79c340e52dd2
충청북도 괴산군 불정면 삼방리,1999,A,450나5785,tjang@jusighoesa.com,5,검정,등산,의사,기혼,LG U+,이예준,새,Galaxy A32,010-7555-6779,다가구,사용,440404-1729045,전기차,data2_20250602185128961493_17,c41b974f769d1fa53b9d249e14b10b0dce42207f40090f44b033511b652349a9
서울특별시 동대문구 장안동,1980,AB,710나6828,jyu@yuhanhoesa.com,4,주황,여행,개발자,미혼,알뜰폰,강지민,새,Realme 8,010-1544-4803,연립주택,사용,600313-1798934,자전거,data2_20250602185128961493_18,5d45f9aa92eeb282d8c986afb893083f88048f3036d2f2d4eae060fea5fba2d8
충청북도 청주시 흥덕구 오송읍 상정리,1998,O,30바8292,hyeonjun31@ju.kr,6,검정,자전거,학생,이혼,알뜰폰,송서윤,강아지,Galaxy Note 10,010-3813-3156,연립주택,미사용,940320-2119589,SUV,data2_20250602185128961493_19,348f16d11aab728574db8701182cf024de517c16b943c9f103fba60380660912
광주광역시 광산구 동호동,1986,A,139나2131,gimyeweon@yuni.kr,5,회색,등산,연구원,미혼,KT,김민석,물고기,Galaxy Note 20,010-5137-6935,연립주택,미사용,840628-2240391,전기차,data2_20250602185128961493_20,bee23551cfe4e6948bd81f9d645c328901d78f3185b821572c637ed84541ba21
경기도 하남시 배알미동,1997,O,888다5016,obag@yuhanhoesa.org,6,회색,음악감상,간호사,미혼,알뜰폰,이옥순,새,Galaxy S23,010-4328-6526,다가구,미사용,880229-1773639,승용차,data2_20250602185128961493_21,5897f5badafc974b20c0c6c732cad1b2d9d4ac6998799fa4b9131110dd1dcddd
전라북도 완주군 화산면 운제리,1989,B,613라9004,lo@yuhanhoesa.kr,2,분홍,영화감상,연구원,미혼,LG U+,한순옥,새,Galaxy Z Flip,010-9127-2767,기숙사,사용,050714-3611833,버스,data2_20250602185128961493_22,77eac96e509c90e2c14c3b65adf27c59c4ead72a36ca57fc7a54d35e617e1f3b
전라남도 진도군 지산면 보전리,2007,B,461바5798,hyejini@yuhanhoesa.com,4,빨강,영화감상,마케터,이혼,알뜰폰,주은정,새,iPhone SE,010-9895-2696,기숙사,미사용,610622-1328389,승용차,data2_20250602185128961493_23,cb6db15a1deb44caef5a68dcb2847d5d393275229e1e535094d0882837e3b0ce
