address,email,income,monthly_spending,name,phone_number,ssn,mk_serial_number,matching_key
세종특별자치시 세종시 다정동,yeongceoli@oryu.com,95784097,4740505,노영수,010-3701-7378,940727-2509732,data_202506021652562415741,0342cc1bfc4e83581284122088251365b2fe837b0a6ccca8839c6a318f17a98d
부산광역시 영도구 남항동2가,jongsugim@baggimhan.com,18249813,11185172,이지후,010-4676-2885,821021-1259752,data_202506021652562415742,bfb7cba238beb3d82c4a417c0acc58d71810f042a6539814b841e5edc41629e6
경상북도 영덕군 영해면 괴시리,jeongsigi@igim.com,52041066,1394315,김선영,010-2899-8242,640331-1315318,data_202506021652562415743,115dcd129594d967b1a504c36a825a8d8144f891905b77d953fe7704848892f3
충청남도 천안시 동남구 목천읍 동리,eu@hangimna.net,82993376,1435073,양상훈,010-6322-5868,440319-2278365,data_202506021652562415744,8b17f958e5f655a43ef663beba20dd863a23356e5590afa667e63c0ed013ecd1
경기도 고양시 덕양구 도내동,jiubag@jusighoesa.kr,76305485,4412435,강보람,010-1783-8290,520126-2755646,data_202506021652562415745,7a53d0265dc6111debc55ead701274b3abf9485ee5b171d23d8c549db1b7e221
세종특별자치시 세종시 전의면 영당리,yeonghyigim@yu.com,22017575,5668176,이지아,010-7796-8157,920917-1735106,data_202506021652562415746,7b726e05da3a8c83c333fd2d51594a808c7c6f4a6b75592b14851e2ceeca2a90
서울특별시 구로구 구로동,fi@ju.kr,58952435,2055860,손미영,010-1665-5644,480714-2897685,data_202506021652562415747,0116e563c332d3e7105e14eda036fb18694b58866d009f399a696509e429d55b
인천광역시 남동구 서창동,yangjihyeon@hwangi.kr,80516207,1368997,이옥자,010-6105-6696,500131-1763849,data_202506021652562415748,681b059dc507360719952e70c9e25379f576ece582c58a4ab707609a99fb356e
충청남도 당진시 정미면 승산리,jyang@ju.com,86048186,949890,박영진,010-1294-1573,511007-1538057,data_202506021652562415749,56e3dda61535be44bec0abd48c7d0d3f38368715317761bf8e339b682dbb6caf
대전광역시 대덕구 오정동,ti@ju.org,94165032,19276633,최성진,010-4688-8716,800927-1701007,data_2025060216525624157410,2dd6fad407ae643064cdeec3b53b70195b87ae59f3650624d73f4ed7cbfa4c32
인천광역시 옹진군 덕적면 서포리,yeongho20@ju.com,54430668,835944,김민수,010-3582-5141,951125-2836117,data_2025060216525624157411,dfa960f3e1dfc8330bc5b66248c8c90792e5aa4af08229ea09e50cca56280dea
세종특별자치시 세종시 새롬동,gimhyeonji@ango.kr,46398596,9031231,권서영,010-6194-6999,640103-1182845,data_2025060216525624157412,bd631bf3b84620aa47fc4c76087e8d552771c53e5299cf9f33244c8e90de27b4
전라북도 장수군 산서면 백운리,yejungim@hanam.kr,59827854,27860660,박정남,010-6877-2000,560225-1729125,data_2025060216525624157413,a047d193217fa21b0cf07436fa746f2f943e7c4a5112fff0ca1728aedbc5e4ce
세종특별자치시 세종시 장군면 송문리,ogjai@yu.kr,14745582,612059,송채원,010-6541-5452,891020-2385391,data_2025060216525624157414,b334669784a4db4a3b47a4b0000160e18295072b5ba83f8d8665c9e6620940cc
전라남도 진도군 지산면 인지리,gimeungyeong@yuhanhoesa.kr,90447517,12745276,김동현,010-5776-4946,060401-4436684,data_2025060216525624157415,48b5ce667bcf260e685fe9730d7015a5a30dc90868d27da296236f58d65604b0
서울특별시 성동구 금호동4가,gimseojun@ju.net,27238197,1882902,장영진,010-3786-8131,690630-1007717,data_2025060216525624157416,ce059d47134557300927adf6d19edf77768fcf390c56f789bfcd39a5997fede2
충청북도 괴산군 불정면 삼방리,tjang@jusighoesa.com,38485359,6512771,이예준,010-7555-6779,440404-1729045,data_2025060216525624157417,09eb81b4832fc85a68c2eaa7a372e65c3e6de3e2f45333e60aceae229ce502f5
서울특별시 동대문구 장안동,jyu@yuhanhoesa.com,30573981,10953183,강지민,010-1544-4803,600313-1798934,data_2025060216525624157418,8a754109b504f2061bb4dc01f674f91e353aea6d9d57f0626ed6535e460c0948
충청북도 청주시 흥덕구 오송읍 상정리,hyeonjun31@ju.kr,80662503,23659946,송서윤,010-3813-3156,940320-2119589,data_2025060216525624157419,bb2feb55ddfa32233e8fbf492595f42aa636f2687cd41b5b9bc285d2b5d161dc
광주광역시 광산구 동호동,gimyeweon@yuni.kr,87038301,14435348,김민석,010-5137-6935,840628-2240391,data_2025060216525624157420,1f10fc606348b40f276f6a33a5759424c7215307580f0f5d369a0f3b11fa1f8e
경기도 하남시 배알미동,obag@yuhanhoesa.org,30191872,13766998,이옥순,010-4328-6526,880229-1773639,data_2025060216525624157421,67d2c70bcb4d73b2e964f1f505905bde10e1257f4d28d256c8134f9b3297fbbb
전라북도 완주군 화산면 운제리,lo@yuhanhoesa.kr,96486987,14396990,한순옥,010-9127-2767,050714-3611833,data_2025060216525624157422,0340a0cbac2d8682da105b10f3e9764388086c393960a97e407c16b0d440222d
전라남도 진도군 지산면 보전리,hyejini@yuhanhoesa.com,37086066,6137990,주은정,010-9895-2696,610622-1328389,data_2025060216525624157423,e19f09d5c4b083f5936ccc4c1eb8eb6bc8b10f958eb9ddf3b8506037e8c121ef
대구광역시 동구 미대동,bagyeongjin@jusighoesa.kr,26854164,3533394,최영철,010-7994-4693,650106-1724623,data_2025060216525624157424,46431c87e7031a3cbf1bec8540ce5d9b7a608bda5029e14399bbe02e106f2f0c
울산광역시 동구 화정동,minji41@ju.net,42683163,134354,김지원,010-4029-7469,530112-2283134,data_2025060216525624157425,04bd4133cc2bcfaca456e8f7f81929ae21a0e2dfe1be809364e36d62f9eaeed7
전라북도 익산시 여산면 태성리,yuseongsu@mingim.com,15060649,2753012,김지현,010-5187-2329,970202-1663391,data_2025060216525624157426,df0ef7a27d491abf09bcc42d7f83eb20796eebe2d52fe6d262b9c256e2d6941f
세종특별자치시 세종시 한솔동,pi@heoseo.com,14391104,5492207,전영일,010-6176-5986,040122-4273269,data_2025060216525624157427,f7d0c279dbda870bdd9ba95cefae45991b2d01e7ba5615bfdecd110e870fd6b4
광주광역시 서구 쌍촌동,zyang@bagigim.com,44654774,659578,김서준,010-8149-7061,660715-1464728,data_2025060216525624157428,8a517055a6db7b66a75e89df57a74d1891d8ae6cfabfeace2bd7d76219e326d6
경상남도 창녕군 남지읍 남지리,namseohyeon@janggim.com,72558357,1113557,박현준,010-4316-5781,560306-1503993,data_2025060216525624157429,9a2e8150f0ae70fdfb4ac42fd1559fa308e6b136c2d66047a3e238bb66c915af
경상북도 구미시 옥성면 구봉리,ibag@ju.org,93485962,36552151,윤지훈,010-6274-2650,050717-4141190,data_2025060216525624157430,73deec2eec85a93bb9e7064ff12c1ca13865f2fed673a6df2c014b15dcb2f231
전라북도 전주시 완산구 전동,seoyejun@gimgimgim.com,33110225,1968670,윤서윤,010-2235-7609,101012-3934605,data_2025060216525624157431,95c3ef15d6f8c49e5eef09549f5d757a476de43ce80451b6f7f0b89e7cb92ca8
대구광역시 북구 읍내동,bbag@hanim.com,61964028,9925592,허현정,010-3040-3305,500128-2728254,data_2025060216525624157432,32cd49ec738e3e54fc5f254118000c10e35c2426c833246df6f5dc5567c32ab9
부산광역시 북구 금곡동,jeongsug51@jusighoesa.com,5570131,1268264,박승민,010-8451-6744,710622-1395993,data_2025060216525624157433,bedc279d9ef5d41c290d6dbaee56c7107994b584625f14eae93fe88fe9bd4a2e
경상북도 영천시 고경면 덕정리,oryu@gimyubag.com,25790879,6944229,차현준,010-7069-8317,950912-2569290,data_2025060216525624157434,e2b1b2309ec76cff07a5d7edd58ef81205faf375541e88c2bc104e7a8645d354
제주특별자치도 서귀포시 도순동,jeonghuni@jusighoesa.net,51214643,2738000,김옥자,010-9225-8637,770315-1468056,data_2025060216525624157435,fc97b6cdc4e8d7f88ce68071f326a8a9375415f96ac25a1062991aaffc690bd0
광주광역시 광산구 연산동,ogim@jusighoesa.com,42422683,9616847,김현숙,010-6997-3548,070508-4386146,data_2025060216525624157436,05d96d28786338a4d21325bc97ff130a2b553ff17b33d08670af9b9f8ee20ba9
경상북도 의성군 안계면 토매리,namyeongsu@jangseogim.kr,30145747,9508869,고지우,010-7490-8445,680207-2077609,data_2025060216525624157437,435501374f7805fb5ea9747ebe0e25dbba1b609f701e36e425ec597a05a9f737
세종특별자치시 세종시 장군면 금암리,yeonghwan15@jangisim.com,29202765,1653126,박준호,010-6890-4765,520117-2809720,data_2025060216525624157438,28fa100208178586dcf2c016461f29493596f6a99ad950c99ffdd300816b54d3
서울특별시 노원구 월계동,seonghyeongim@jangbaeg.net,41489281,14390147,황도윤,010-7914-4452,570304-1385839,data_2025060216525624157439,2852072edff28c9b02d00a67e84d77003772dff79a9000afeb2581024f42a04c
강원도 원주시 지정면 월송리,yeongil18@ibagjang.kr,82475936,8471649,이정수,010-2436-6060,881019-1398030,data_2025060216525624157440,ae4b0ec6e5be5134a38448454a8576cd5bdd9ceaa474404135512bf2f038e647
울산광역시 북구 시례동,junho41@yuhanhoesa.com,19502207,8336269,김미영,010-4220-6556,511018-1441110,data_2025060216525624157441,c7d916a09307d9b0147bef2f1e7f06cc84a7f8248b86440730f0d796b3e2a3d9
전라남도 영광군 법성면 화천리,jeongsug57@yu.com,57243899,2594736,박중수,010-2625-7015,470508-1406773,data_2025060216525624157442,bff65455a7f397681e043c8d638dcbc316cbddb625211b91f8960d9a116a39a1
