address,email,income,monthly_spending,name,phone_number,ssn
세종특별자치시 세종시 다정동,yeongceoli@oryu.com,95784097,4740505,노영수,010-3701-7378,940727-2509732
부산광역시 영도구 남항동2가,jongsugim@baggimhan.com,18249813,11185172,이지후,010-4676-2885,821021-1259752
경상북도 영덕군 영해면 괴시리,jeongsigi@igim.com,52041066,1394315,김선영,010-2899-8242,640331-1315318
충청남도 천안시 동남구 목천읍 동리,eu@hangimna.net,82993376,1435073,양상훈,010-6322-5868,440319-2278365
경기도 고양시 덕양구 도내동,jiubag@jusighoesa.kr,76305485,4412435,강보람,010-1783-8290,520126-2755646
세종특별자치시 세종시 전의면 영당리,yeonghyigim@yu.com,22017575,5668176,이지아,010-7796-8157,920917-1735106
서울특별시 구로구 구로동,fi@ju.kr,58952435,2055860,손미영,010-1665-5644,480714-2897685
인천광역시 남동구 서창동,yangjihyeon@hwangi.kr,80516207,1368997,이옥자,010-6105-6696,500131-1763849
충청남도 당진시 정미면 승산리,jyang@ju.com,86048186,949890,박영진,010-1294-1573,511007-1538057
대전광역시 대덕구 오정동,ti@ju.org,94165032,19276633,최성진,010-4688-8716,800927-1701007
인천광역시 옹진군 덕적면 서포리,yeongho20@ju.com,54430668,835944,김민수,010-3582-5141,951125-2836117
세종특별자치시 세종시 새롬동,gimhyeonji@ango.kr,46398596,9031231,권서영,010-6194-6999,640103-1182845
전라북도 장수군 산서면 백운리,yejungim@hanam.kr,59827854,27860660,박정남,010-6877-2000,560225-1729125
세종특별자치시 세종시 장군면 송문리,ogjai@yu.kr,14745582,612059,송채원,010-6541-5452,891020-2385391
전라남도 진도군 지산면 인지리,gimeungyeong@yuhanhoesa.kr,90447517,12745276,김동현,010-5776-4946,060401-4436684
서울특별시 성동구 금호동4가,gimseojun@ju.net,27238197,1882902,장영진,010-3786-8131,690630-1007717
충청북도 괴산군 불정면 삼방리,tjang@jusighoesa.com,38485359,6512771,이예준,010-7555-6779,440404-1729045
