address,email,income,monthly_spending,name,phone_number,ssn,mk_serial_number,matching_key
세종특별자치시 세종시 다정동,yeongceoli@oryu.com,95784097,4740505,노영수,010-3701-7378,940727-2509732,data1_20250602185117802834_1,496721c4c5911e6737ae29aa2fbe4c71b9a38a6be2831d7d20707511a1a21242
부산광역시 영도구 남항동2가,jongsugim@baggimhan.com,18249813,11185172,이지후,010-4676-2885,821021-1259752,data1_20250602185117802834_2,6562077e9746a68e93f25c37d954610923c66ffc0b98e928b843c39fcaa9be1f
경상북도 영덕군 영해면 괴시리,jeongsigi@igim.com,52041066,1394315,김선영,010-2899-8242,640331-1315318,data1_20250602185117802834_3,736a97c714ea35aefef8f1442a707c99d4b3e8ceb3a7bb0fd5a068bc5e984340
충청남도 천안시 동남구 목천읍 동리,eu@hangimna.net,82993376,1435073,양상훈,010-6322-5868,440319-2278365,data1_20250602185117802834_4,780eac6a328748b26ac0d5434a0eb1e2e565db8aad3041864839f4bc3232c05c
경기도 고양시 덕양구 도내동,jiubag@jusighoesa.kr,76305485,4412435,강보람,010-1783-8290,520126-2755646,data1_20250602185117802834_5,90824f97e5dcf1f2219eec945ceaf1f791d7c0c044cb8d9d4e6ac47f1f73517b
세종특별자치시 세종시 전의면 영당리,yeonghyigim@yu.com,22017575,5668176,이지아,010-7796-8157,920917-1735106,data1_20250602185117802834_6,783ccfbfe218f7cd5d44a95d7ed362f77b954845d5673491daaa3c14de389495
서울특별시 구로구 구로동,fi@ju.kr,58952435,2055860,손미영,010-1665-5644,480714-2897685,data1_20250602185117802834_7,3adab0e7d06a5d10dacd44a521e86a009c397e4588ba925b2b61a1c01260f5ea
인천광역시 남동구 서창동,yangjihyeon@hwangi.kr,80516207,1368997,이옥자,010-6105-6696,500131-1763849,data1_20250602185117802834_8,d50ee362ccaca4b7cbaa0e05bde764a094d57984e3e68908279a83779ecb103b
충청남도 당진시 정미면 승산리,jyang@ju.com,86048186,949890,박영진,010-1294-1573,511007-1538057,data1_20250602185117802834_9,939b6f6a8be948dc4c719485f1144f5427c8993c59f5616a324ef2a6257458ed
대전광역시 대덕구 오정동,ti@ju.org,94165032,19276633,최성진,010-4688-8716,800927-1701007,data1_20250602185117802834_10,4ef2974cfdc1ef6dc366ca0e9fb1aec7c30828fe1f1754749498667578aab0fe
인천광역시 옹진군 덕적면 서포리,yeongho20@ju.com,54430668,835944,김민수,010-3582-5141,951125-2836117,data1_20250602185117802834_11,b1b4df47f3bb44610946f7573a2a3d42d585981ae015a1a8586d7e163c14012e
세종특별자치시 세종시 새롬동,gimhyeonji@ango.kr,46398596,9031231,권서영,010-6194-6999,640103-1182845,data1_20250602185117802834_12,e595bacd6ecae0a7852e0a069f861ccbfba8e8c6f638155820851009b8a55cf1
전라북도 장수군 산서면 백운리,yejungim@hanam.kr,59827854,27860660,박정남,010-6877-2000,560225-1729125,data1_20250602185117802834_13,287986982386736fb59454afe1739d871618b1f343031e7d8cda0304dce37436
세종특별자치시 세종시 장군면 송문리,ogjai@yu.kr,14745582,612059,송채원,010-6541-5452,891020-2385391,data1_20250602185117802834_14,5343f2f549944b52bc70c6c65203752affcee5e2ef3c0b7c71c5d6a26a313965
전라남도 진도군 지산면 인지리,gimeungyeong@yuhanhoesa.kr,90447517,12745276,김동현,010-5776-4946,060401-4436684,data1_20250602185117802834_15,99e0780f0b100144ad5b566975c016e2daac4c27ad460292cacb17c56cb685ac
서울특별시 성동구 금호동4가,gimseojun@ju.net,27238197,1882902,장영진,010-3786-8131,690630-1007717,data1_20250602185117802834_16,f9d8372c3cb3c5266de9df9def07d64e8368423bced256e5670a79c340e52dd2
충청북도 괴산군 불정면 삼방리,tjang@jusighoesa.com,38485359,6512771,이예준,010-7555-6779,440404-1729045,data1_20250602185117802834_17,c41b974f769d1fa53b9d249e14b10b0dce42207f40090f44b033511b652349a9
서울특별시 동대문구 장안동,jyu@yuhanhoesa.com,30573981,10953183,강지민,010-1544-4803,600313-1798934,data1_20250602185117802834_18,5d45f9aa92eeb282d8c986afb893083f88048f3036d2f2d4eae060fea5fba2d8
충청북도 청주시 흥덕구 오송읍 상정리,hyeonjun31@ju.kr,80662503,23659946,송서윤,010-3813-3156,940320-2119589,data1_20250602185117802834_19,348f16d11aab728574db8701182cf024de517c16b943c9f103fba60380660912
광주광역시 광산구 동호동,gimyeweon@yuni.kr,87038301,14435348,김민석,010-5137-6935,840628-2240391,data1_20250602185117802834_20,bee23551cfe4e6948bd81f9d645c328901d78f3185b821572c637ed84541ba21
경기도 하남시 배알미동,obag@yuhanhoesa.org,30191872,13766998,이옥순,010-4328-6526,880229-1773639,data1_20250602185117802834_21,5897f5badafc974b20c0c6c732cad1b2d9d4ac6998799fa4b9131110dd1dcddd
전라북도 완주군 화산면 운제리,lo@yuhanhoesa.kr,96486987,14396990,한순옥,010-9127-2767,050714-3611833,data1_20250602185117802834_22,77eac96e509c90e2c14c3b65adf27c59c4ead72a36ca57fc7a54d35e617e1f3b
전라남도 진도군 지산면 보전리,hyejini@yuhanhoesa.com,37086066,6137990,주은정,010-9895-2696,610622-1328389,data1_20250602185117802834_23,cb6db15a1deb44caef5a68dcb2847d5d393275229e1e535094d0882837e3b0ce
대구광역시 동구 미대동,bagyeongjin@jusighoesa.kr,26854164,3533394,최영철,010-7994-4693,650106-1724623,data1_20250602185117802834_24,1ab0a435d42a43cd2a2affa30eeeff0bf8adc0fe490c461c2b46799d947f8038
울산광역시 동구 화정동,minji41@ju.net,42683163,134354,김지원,010-4029-7469,530112-2283134,data1_20250602185117802834_25,215ca2df57c545ebf2f4be6da5f4364790d08b7b5402406e41787308f747279e
전라북도 익산시 여산면 태성리,yuseongsu@mingim.com,15060649,2753012,김지현,010-5187-2329,970202-1663391,data1_20250602185117802834_26,2d2bfc59202567ccb8e8596026362ceec8abe0d4bbc47420613068843cc236e8
세종특별자치시 세종시 한솔동,pi@heoseo.com,14391104,5492207,전영일,010-6176-5986,040122-4273269,data1_20250602185117802834_27,0e7e908e92ddfe5d9f72fd6079eb1e2f4640ecbbfc3bd72ebeda50287ab0e7e4
광주광역시 서구 쌍촌동,zyang@bagigim.com,44654774,659578,김서준,010-8149-7061,660715-1464728,data1_20250602185117802834_28,32c0a995b9943162e2df126580d6313a33c7dfdbc0bd491cb0c09cb7b6413e1f
경상남도 창녕군 남지읍 남지리,namseohyeon@janggim.com,72558357,1113557,박현준,010-4316-5781,560306-1503993,data1_20250602185117802834_29,1688298b2a0b994aa4b1a176ca2ddb11d2c0f1f512daaabb202ae975c8a6cede
