name,ssn,phone_number,email,income,address,monthly_spending
노**,94072*********,010-*********,yeongc*************,95784097,세종특별자**********,4740505
이**,82102*********,010-*********,jongsug****************,18249813,부산광역시**********,11185172
김**,64033*********,010-*********,jeongs************,52041066,경상북도 ***********,1394315
양**,44031*********,010-*********,eu@ha**********,82993376,충청남도 천*************,1435073
강**,52012*********,010-*********,jiubag**************,76305485,경기도 고**********,4412435
이**,92091*********,010-*********,yeongh************,22017575,세종특별자치*************,5668176
손**,48071*********,010-*********,fi@*****,58952435,서울특별*********,2055860
이**,50013*********,010-*********,yangjih**************,80516207,인천광역*********,1368997
박**,51100*********,010-*********,jyan********,86048186,충청남도 ***********,949890
최**,80092*********,010-*********,ti@******,94165032,대전광역*********,19276633
김**,95112*********,010-*********,yeong***********,54430668,인천광역시 ***********,835944
권**,64010*********,010-*********,gimhye************,46398596,세종특별자**********,9031231
박**,56022*********,010-*********,yejung***********,59827854,전라북도 ***********,27860660
송**,89102*********,010-*********,ogja*******,14745582,세종특별자치*************,612059
김**,06040*********,010-*********,gimeungy******************,90447517,전라남도 ***********,12745276
장**,69063*********,010-*********,gimse***********,27238197,서울특별시**********,1882902
이**,44040*********,010-*********,tjang@**************,38485359,충청북도 ***********,6512771
강**,60031*********,010-*********,jyu@yu************,30573981,서울특별시*********,10953183
송**,94032*********,010-*********,hyeon***********,80662503,충청북도 청**************,23659946
김**,84062*********,010-*********,gimyew***********,87038301,광주광역*********,14435348
이**,88022*********,010-*********,obag@y*************,30191872,경기도 ********,13766998
한**,05071*********,010-*********,lo@yu***********,96486987,전라북도 ***********,14396990
주**,61062*********,010-*********,hyejini***************,37086066,전라남도 ***********,6137990
최**,65010*********,010-*********,bagyeong*****************,26854164,대구광역********,3533394
김**,53011*********,010-*********,minji*********,42683163,울산광역********,134354
김**,97020*********,010-*********,yuseon**************,15060649,전라북도 ***********,2753012
전**,04012*********,010-*********,pi@h*********,14391104,세종특별자**********,5492207
김**,66071*********,010-*********,zyang@***********,44654774,광주광역********,659578
박**,56030*********,010-*********,namseoh****************,72558357,경상남도 ***********,1113557
윤**,05071*********,010-*********,ibag*******,93485962,경상북도 ***********,36552151
윤**,10101*********,010-*********,seoyeju***************,33110225,전라북도 **********,1968670
허**,50012*********,010-*********,bbag@*********,61964028,대구광역********,9925592
박**,71062*********,010-*********,jeongsug*****************,5570131,부산광역********,1268264
차**,95091*********,010-*********,oryu@g***********,25790879,경상북도 ***********,6944229
김**,77031*********,010-*********,jeonghun****************,51214643,제주특별자***********,2738000
김**,07050*********,010-*********,ogim@j*************,42422683,광주광역*********,9616847
고**,68020*********,010-*********,namyeong****************,30145747,경상북도 ***********,9508869
박**,52011*********,010-*********,yeonghwa****************,29202765,세종특별자치*************,1653126
황**,57030*********,010-*********,seonghye******************,41489281,서울특별*********,14390147
이**,88101*********,010-*********,yeongil**************,82475936,강원도 원**********,8471649
김**,51101*********,010-*********,junho41***************,19502207,울산광역********,8336269
박**,47050*********,010-*********,jeongs***********,57243899,전라남도 ***********,2594736
안**,47032*********,010-*********,wson*******,52497197,충청남도 ***********,8211121
김**,90032*********,010-*********,yeong***********,26868317,세종특별자치*************,3843958
이**,51070*********,010-*********,ibor********,65693398,강원도 횡***********,11379181
이**,59101*********,010-*********,byeongce****************,32112500,대구광역********,12225320
장**,52120*********,010-*********,myeongja******************,44652635,전라남도 ***********,5217413
차**,63082*********,010-*********,cco*******,54684567,충청북도 ***********,11318956
김**,89121*********,010-*********,jiminyan****************,46744839,울산광역********,11545963
김**,86032*********,010-*********,xi@n********,59137374,인천광역********,12014896
김**,77012*********,010-*********,junyeo***********,26246300,전라남도********,5239720
박**,10081*********,010-*********,gwangs**************,74290518,경기도*******,29911971
이**,98062*********,010-*********,omin*********,11355750,경기도 *******,1376703
김**,83031*********,010-*********,tbag@j************,92278691,대구광역시**********,15192914
이**,84121*********,010-*********,jba*******,8906013,대전광역********,4766910
김**,12081*********,010-*********,yeongh**************,54725851,전라남도********,11328229
전**,69020*********,010-*********,myeon***********,83057050,인천광역*********,21783194
박**,92082*********,010-*********,jihyeo**************,89882745,세종특별자**********,6484886
최**,04011*********,010-*********,iyeong**************,45344797,서울특별시**********,28376932
김**,67121*********,010-*********,sseo@***********,27435452,대전광역*********,19671395
최**,81082*********,010-*********,jinu24**************,53778740,충청북도 청**************,9836422
남**,77010*********,010-*********,yeongja***************,39945022,인천광역시*********,643025
남**,73040*********,010-*********,ryusangh*****************,86462636,광주광역*********,15534939
이**,09080*********,010-*********,seohye*************,97167146,부산광역시*********,14865853
김**,84032*********,010-*********,gimyee*************,74334888,세종특별자치*************,18911291
류**,91041*********,010-*********,gimyeo***********,90263629,경기도 ********,8258068
이**,68022*********,010-*********,ison********,27565296,경상북도 ***********,7989767
김**,77071*********,010-*********,hgim@j*************,85322835,경상남도 ***********,36937894
김**,97031*********,010-*********,seoyunj**************,25265133,광주광역*********,3330444
고**,01121*********,010-*********,coehyeonj*******************,4639510,강원도 평**********,531833
최**,92081*********,010-*********,ijeong*************,15659614,부산광역*********,3413487
김**,60080*********,010-*********,hayun43****************,29083714,세종특별자치*************,7971613
최**,79051*********,010-*********,hbag@j***********,88386757,서울특별*********,41933398
전**,97060*********,010-*********,li@******,59263563,서울특별*********,12598076
안**,60101*********,010-*********,mjan*******,13837287,경기도 양**********,1024640
박**,79122*********,010-*********,seoji***********,56474265,부산광역*********,28948888
이**,61042*********,010-*********,vseong************,78048230,세종특별자치*************,197329
이**,46031*********,010-*********,caeweonc*****************,68159257,전라북도 ***********,36058669
김**,55041*********,010-*********,ogja********,71933308,서울특별*********,18167300
김**,87032*********,010-*********,songy***********,3747406,대구광역********,165032
김**,14031*********,010-*********,abag@s*************,80217508,강원도 양**********,5357403
김**,69052*********,010-*********,ogja0**********,13545783,서울특별시*********,3231119
김**,02120*********,010-*********,coeseon**************,54790284,부산광역*********,13203810
조**,66091*********,010-*********,xha*******,36755459,부산광역*********,8350715
이**,68081*********,010-*********,hyeonui**************,24217312,경상남도 ***********,5948673
윤**,74111*********,010-*********,hyejin**************,45046970,경기도 ********,15325164
김**,44101*********,010-*********,bagjunye******************,11798463,광주광역********,1739466
배**,14021*********,010-*********,vbag@y*************,52114852,전라남도 **********,6738258
이**,59012*********,010-*********,hayun1*************,48727796,부산광역*********,5321481
김**,85110*********,010-*********,gimjeo************,34496000,경상남도********,19864664
최**,07042*********,010-*********,jeongn***********,20699215,광주광역*********,693322
강**,74073*********,010-*********,sseo@j************,8640717,강원도 영**********,774599
김**,77041*********,010-*********,misug9***********,14135230,광주광역*******,2830295
김**,83061*********,010-*********,sunja*********,97926951,대구광역********,26701759
최**,84040*********,010-*********,junhyeog****************,76713639,대구광역********,7815931
이**,82102*********,010-*********,gyeongj****************,16781056,서울특별*********,4029442
이**,96032*********,010-*********,jinu********,14785583,울산광역********,1649705
송**,47111*********,010-*********,san*******,35854552,광주광역********,1588981
강**,04080*********,010-*********,bagji*********,12985939,세종특별자치*************,1274879
김**,92030*********,010-*********,jeongnam****************,84838544,인천광역시 ***********,46379273
최**,52120*********,010-*********,yeongsu***************,66221723,세종특별자치*************,7724144
이**,90071*********,010-*********,khong***********,76193209,충청남도 ***********,38071575
이**,92011*********,010-*********,gimseon***************,55684510,광주광역********,4931294
홍**,78092*********,010-*********,seohyeo**************,90616281,대구광역*********,25322702
최**,65082*********,010-*********,yeongsig*****************,72347077,울산광역********,14551560
김**,53081*********,010-*********,ojang*********,84915008,서울특별********,8483314
이**,75111*********,010-*********,hjeong***********,17612416,충청북도 보***********,3087925
김**,51060*********,010-*********,hanjuweo****************,12648265,서울특별*********,437672
장**,85041*********,010-*********,junho97**************,32367274,세종특별자치*************,9233380
김**,75042*********,010-*********,ygwag**********,79821210,경상북도 ***********,3244582
백**,09102*********,010-*********,yeongjin****************,50436901,전라북도 ***********,2139195
홍**,47090*********,010-*********,hson@h************,87833480,서울특별********,4626846
강**,03020*********,010-*********,hwangjeon******************,38821906,경기도 화**********,3577997
조**,69051*********,010-*********,jihye***********,83823436,제주특별자치*************,27271949
홍**,70030*********,010-*********,hhan*******,36554846,세종특별자치*************,8178346
이**,62101*********,010-*********,boram58***************,57114217,전라남도 ***********,3748620
고**,56011*********,010-*********,boram**********,85467413,전라남도 ***********,28252843
이**,60042*********,010-*********,gimhy***********,44199826,울산광역********,3635229
진**,09102*********,010-*********,gangji***********,51192580,세종특별자치*************,14148849
신**,01041*********,010-*********,cunjam***********,18555256,전라남도 ***********,3201926
고**,94090*********,010-*********,dohyeon****************,3599449,부산광역*********,1053357
박**,92070*********,010-*********,mgim*********,25772760,전라북도 ***********,3140591
이**,01052*********,010-*********,gimseoj****************,47406167,인천광역********,1870664
오**,98102*********,010-*********,kseo@***********,7409800,충청남도 천*************,466971
박**,05031*********,010-*********,seoyeon***************,86858740,서울특별*********,3713072
강**,57012*********,010-*********,miyeon**************,10966307,전라북도 ***********,3876378
지**,76022*********,010-*********,coejia**************,17736790,충청남도 ***********,7940962
박**,46051*********,010-*********,minjae************,54258264,대구광역시*********,8824278
박**,69021*********,010-*********,munye***********,83225846,강원도 인*********,22996316
이**,81040*********,010-*********,donghyeo******************,84867545,강원도 고***********,9092341
김**,90122*********,010-*********,hyeonu***********,17757179,대구광역시*********,5527053
김**,75072*********,010-*********,minjun*************,78609779,경상북도 ***********,29672792
이**,09050*********,010-*********,jihye17***************,45310142,전라남도 ***********,12483530
홍**,51081*********,010-*********,immigyeo*****************,75043312,전라북도 ***********,48507135
서**,97060*********,010-*********,suminb*************,58496888,경상북도 포*************,10147558
