address,email,income,monthly_spending,name,phone_number,ssn
세종특별자**********,yeongc*************,95783200.547~95791145.72,4739940.455~4742573.506,노**,010-*********,94072*********
부산광역시**********,jongsug****************,18233871.536~18253968.81,11179512.529~11189288.904,이**,010-*********,82102*********
경상북도 ***********,jeongs************,52040873.488~52056522.474,1394301.586~1395702.868,김**,010-*********,64033*********
충청남도 천*************,eu@ha**********,82987087.126~82993383.568,1434868.221~1435370.767,양**,010-*********,44031*********
경기도 고**********,jiubag**************,76301615.258~76332476.302,4409122.521~4413311.252,강**,010-*********,52012*********
세종특별자치*************,yeongh************,22001544.886~22022623.022,5667351.112~5671556.689,이**,010-*********,92091*********
서울특별*********,fi@*****,58952066.974~58955372.19,2055808.374~2056843.806,손**,010-*********,48071*********
인천광역*********,yangjih**************,80514556.797~80516613.984,1368833.746~1371813.881,이**,010-*********,50013*********
충청남도 ***********,jyan********,86045394.93~86049700.612,949794.278~952544.099,박**,010-*********,51100*********
대전광역*********,ti@******,94163912.48~94166417.506,19262809.802~19277679.587,최**,010-*********,80092*********
인천광역시 ***********,yeong***********,54425985.559~54432044.865,835364.52~836703.03,김**,010-*********,95112*********
세종특별자**********,gimhye************,46397515.525~46402803.756,9029501.943~9034639.024,권**,010-*********,64010*********
전라북도 ***********,yejung***********,59827655.424~59830692.049,27839078.712~27860971.216,박**,010-*********,56022*********
세종특별자치*************,ogja*******,14742838.13~14749012.226,610010.049~613534.746,송**,010-*********,89102*********
전라남도 ***********,gimeungy******************,90443271.386~90448045.693,12740171.144~12746108.259,김**,010-*********,06040*********
서울특별시**********,gimse***********,27236386.612~27273755.797,1881533.702~1884895.979,장**,010-*********,69063*********
충청북도 ***********,tjang@**************,38477615.446~38500440.371,6510211.001~6513727.718,이**,010-*********,44040*********
서울특별시*********,jyu@yu************,30569777.458~30601673.156,10939704.699~10953525.074,강**,010-*********,60031*********
충청북도 청**************,hyeon***********,80627448.64~80662803.458,23653572.809~23674494.653,송**,010-*********,94032*********
광주광역*********,gimyew***********,87019630.215~87042110.279,14425096.218~14435767.622,김**,010-*********,84062*********
경기도 ********,obag@y*************,30165568.333~30200437.012,13763172.958~13772674.638,이**,010-*********,88022*********
전라북도 ***********,lo@yu***********,96484677.366~96499461.155,14395982.231~14409636.502,한**,010-*********,05071*********
전라남도 ***********,hyejini***************,37085118.919~37105600.454,6129757.636~6138423.082,주**,010-*********,61062*********
대구광역********,bagyeong*****************,26852318.122~26864046.645,3532448.434~3535628.468,최**,010-*********,65010*********
울산광역********,minji*********,42664818.812~42686050.191,133550.084~134674.583,김**,010-*********,53011*********
전라북도 ***********,yuseon**************,15058076.704~15072766.805,2753011.491~2754305.455,김**,010-*********,97020*********
세종특별자**********,pi@h*********,14387972.037~14415125.392,5491522.792~5494679.971,전**,010-*********,04012*********
광주광역********,zyang@***********,44653838.829~44661519.451,659230.098~660087.859,김**,010-*********,66071*********
경상남도 ***********,namseoh****************,72554747.186~72577912.936,1112935.839~1114482.71,박**,010-*********,56030*********
경상북도 ***********,ibag*******,93473217.832~93487668.468,36538918.58~36552389.119,윤**,010-*********,05071*********
전라북도 **********,seoyeju***************,33109133.566~33117018.131,1968020.18~1970282.359,윤**,010-*********,10101*********
대구광역********,bbag@*********,61955881.31~61968040.941,9925295.218~9926608.589,허**,010-*********,50012*********
부산광역********,jeongsug*****************,5570018.924~5598282.367,1268035.576~1272701.828,박**,010-*********,71062*********
경상북도 ***********,oryu@g***********,25788272.481~25805862.922,6939666.0~6944516.449,차**,010-*********,95091*********
