name,ssn,phone_number,email,income,address,monthly_spending
노영수,940727-2509732,010-3701-7378,yeongceoli@oryu.com,95784097,세종특별자치시 세종시 다정동,4740505
이지후,821021-1259752,010-4676-2885,jongsugim@baggimhan.com,18249813,부산광역시 영도구 남항동2가,11185172
김선영,640331-1315318,010-2899-8242,jeongsigi@igim.com,52041066,경상북도 영덕군 영해면 괴시리,1394315
양상훈,440319-2278365,010-6322-5868,eu@hangimna.net,82993376,충청남도 천안시 동남구 목천읍 동리,1435073
강보람,520126-2755646,010-1783-8290,jiubag@jusighoesa.kr,76305485,경기도 고양시 덕양구 도내동,4412435
이지아,920917-1735106,010-7796-8157,yeonghyigim@yu.com,22017575,세종특별자치시 세종시 전의면 영당리,5668176
손미영,480714-2897685,010-1665-5644,fi@ju.kr,58952435,서울특별시 구로구 구로동,2055860
이옥자,500131-1763849,010-6105-6696,yangjihyeon@hwangi.kr,80516207,인천광역시 남동구 서창동,1368997
박영진,511007-1538057,010-1294-1573,jyang@ju.com,86048186,충청남도 당진시 정미면 승산리,949890
최성진,800927-1701007,010-4688-8716,ti@ju.org,94165032,대전광역시 대덕구 오정동,19276633
김민수,951125-2836117,010-3582-5141,yeongho20@ju.com,54430668,인천광역시 옹진군 덕적면 서포리,835944
권서영,640103-1182845,010-6194-6999,gimhyeonji@ango.kr,46398596,세종특별자치시 세종시 새롬동,9031231
박정남,560225-1729125,010-6877-2000,yejungim@hanam.kr,59827854,전라북도 장수군 산서면 백운리,27860660
송채원,891020-2385391,010-6541-5452,ogjai@yu.kr,14745582,세종특별자치시 세종시 장군면 송문리,612059
김동현,060401-4436684,010-5776-4946,gimeungyeong@yuhanhoesa.kr,90447517,전라남도 진도군 지산면 인지리,12745276
장영진,690630-1007717,010-3786-8131,gimseojun@ju.net,27238197,서울특별시 성동구 금호동4가,1882902
이예준,440404-1729045,010-7555-6779,tjang@jusighoesa.com,38485359,충청북도 괴산군 불정면 삼방리,6512771
강지민,600313-1798934,010-1544-4803,jyu@yuhanhoesa.com,30573981,서울특별시 동대문구 장안동,10953183
송서윤,940320-2119589,010-3813-3156,hyeonjun31@ju.kr,80662503,충청북도 청주시 흥덕구 오송읍 상정리,23659946
김민석,840628-2240391,010-5137-6935,gimyeweon@yuni.kr,87038301,광주광역시 광산구 동호동,14435348
이옥순,880229-1773639,010-4328-6526,obag@yuhanhoesa.org,30191872,경기도 하남시 배알미동,13766998
한순옥,050714-3611833,010-9127-2767,lo@yuhanhoesa.kr,96486987,전라북도 완주군 화산면 운제리,14396990
주은정,610622-1328389,010-9895-2696,hyejini@yuhanhoesa.com,37086066,전라남도 진도군 지산면 보전리,6137990
최영철,650106-1724623,010-7994-4693,bagyeongjin@jusighoesa.kr,26854164,대구광역시 동구 미대동,3533394
김지원,530112-2283134,010-4029-7469,minji41@ju.net,42683163,울산광역시 동구 화정동,134354
김지현,970202-1663391,010-5187-2329,yuseongsu@mingim.com,15060649,전라북도 익산시 여산면 태성리,2753012
전영일,040122-4273269,010-6176-5986,pi@heoseo.com,14391104,세종특별자치시 세종시 한솔동,5492207
김서준,660715-1464728,010-8149-7061,zyang@bagigim.com,44654774,광주광역시 서구 쌍촌동,659578
