name,ssn,phone_number,email,income,address,monthly_spending,matching_key,mk_serial_number
노영수,940727-2509732,010-3701-7378,yeongceoli@oryu.com,95784097,세종특별자치시 세종시 다정동,4740505,5064a504e7325526ee20412d8a07cd56165c53b6d228fdae90f3ad32f6343bc4,datas.csv1
이지후,821021-1259752,010-4676-2885,jongsugim@baggimhan.com,18249813,부산광역시 영도구 남항동2가,11185172,86895fa1c6fe1305f60e3c66f0b8daf265605dafeb6ec74550fb58c7c4f2cdd3,datas.csv2
김선영,640331-1315318,010-2899-8242,jeongsigi@igim.com,52041066,경상북도 영덕군 영해면 괴시리,1394315,5145d6660cf92a5409e7367368f7e3e5f490ecc90a07070790ee3260dc338462,datas.csv3
양상훈,440319-2278365,010-6322-5868,eu@hangimna.net,82993376,충청남도 천안시 동남구 목천읍 동리,1435073,56eb58ad17c3c135572555513db2560c114c8867b16ada65588d1b89916f308b,datas.csv4
강보람,520126-2755646,010-1783-8290,jiubag@jusighoesa.kr,76305485,경기도 고양시 덕양구 도내동,4412435,c2708de13251471ccafd76aa525f518e0caab7a958b35fbe734ea34fe48f8bcd,datas.csv5
이지아,920917-1735106,010-7796-8157,yeonghyigim@yu.com,22017575,세종특별자치시 세종시 전의면 영당리,5668176,e781608bf64b3d755c4e39215370f0cbf607b5f1f640dac9199f2d7c5ab0fb7a,datas.csv6
손미영,480714-2897685,010-1665-5644,fi@ju.kr,58952435,서울특별시 구로구 구로동,2055860,3977aff63344f70fa5c90181cab29a1f1659379d7279db3b16bc962e2d59d790,datas.csv7
이옥자,500131-1763849,010-6105-6696,yangjihyeon@hwangi.kr,80516207,인천광역시 남동구 서창동,1368997,41afdb5b69868ba6bc86a3d8f8a3c1ebc7c9d87f82b92578ecb7fa131b56d461,datas.csv8
박영진,511007-1538057,010-1294-1573,jyang@ju.com,86048186,충청남도 당진시 정미면 승산리,949890,2b51aec576010ac8273986ef0e0b77c1109017629df6469b98616bccf30f92c7,datas.csv9
최성진,800927-1701007,010-4688-8716,ti@ju.org,94165032,대전광역시 대덕구 오정동,19276633,199518aed643213c61ab956de8cb54ce6ed13ee33850066bd8460768271ae8bc,datas.csv10
김민수,951125-2836117,010-3582-5141,yeongho20@ju.com,54430668,인천광역시 옹진군 덕적면 서포리,835944,2d165db4d0688b634c73f55697724dab73cfbb4084f7e58e4f65518726e2ae90,datas.csv11
권서영,640103-1182845,010-6194-6999,gimhyeonji@ango.kr,46398596,세종특별자치시 세종시 새롬동,9031231,15c8c56b3f0ea1a3729910a6833e7f233752884b8213067d2dda8bbf8525c1ce,datas.csv12
박정남,560225-1729125,010-6877-2000,yejungim@hanam.kr,59827854,전라북도 장수군 산서면 백운리,27860660,d27a6ef660e04667fb9d529d26729208794bb9515e043d48e6c4e9fb068882ea,datas.csv13
송채원,891020-2385391,010-6541-5452,ogjai@yu.kr,14745582,세종특별자치시 세종시 장군면 송문리,612059,8d7f2366347266ca73002e8391db4e49c15cc873f695698ed400f4367b5db83b,datas.csv14
김동현,060401-4436684,010-5776-4946,gimeungyeong@yuhanhoesa.kr,90447517,전라남도 진도군 지산면 인지리,12745276,6524c193d18fcbf8c297a8cb13854df948d5cbd037f5110afd5fc69c32bf7e99,datas.csv15
장영진,690630-1007717,010-3786-8131,gimseojun@ju.net,27238197,서울특별시 성동구 금호동4가,1882902,d61396f3d0dff26fbd0f8bebfd816d6079dbdc84443805085e5806bcdd9a6933,datas.csv16
이예준,440404-1729045,010-7555-6779,tjang@jusighoesa.com,38485359,충청북도 괴산군 불정면 삼방리,6512771,13d4a984a80865cf2502dbc705d0e043954b252a694b26d46ca4ff9dcfe88747,datas.csv17
강지민,600313-1798934,010-1544-4803,jyu@yuhanhoesa.com,30573981,서울특별시 동대문구 장안동,10953183,834ec26fed2d48e1ba6fd865cd4538b6cc314ef0f51c04f4f469a59da9d562fd,datas.csv18
송서윤,940320-2119589,010-3813-3156,hyeonjun31@ju.kr,80662503,충청북도 청주시 흥덕구 오송읍 상정리,23659946,ca3655eefb5c6fadff1bdcfd4cd28aa4a0f6be8e46d3850381fbd0661b9655d5,datas.csv19
김민석,840628-2240391,010-5137-6935,gimyeweon@yuni.kr,87038301,광주광역시 광산구 동호동,14435348,c886ae200db110b433d4ff75635213e6eef44037c7fcafdb8e57c995fdf4b254,datas.csv20
이옥순,880229-1773639,010-4328-6526,obag@yuhanhoesa.org,30191872,경기도 하남시 배알미동,13766998,2cdd56fd34a03c61ce5617a8073d0b2ed996339615f899133ac5f704ee89a709,datas.csv21
한순옥,050714-3611833,010-9127-2767,lo@yuhanhoesa.kr,96486987,전라북도 완주군 화산면 운제리,14396990,f52f442c7cd42d20b3d05e1d5158c39fe386d25c98756eb36787c1bbaf22e29b,datas.csv22
