name,ssn,phone_number,email,address,car_plate,phone_model,residence_type,job_type,blood_type,favorite_color,marital_status,pet_type,vehicle_type,family_size,hobby,birth_year,mobile_carrier,sns_usage
곽진호,761212-2296547,010-5037-4394,hyeonsugi@gimgimgim.kr,광주광역시 북구 문흥동,102가6910,LG Q92,오피스텔,자영업,O,빨강,사별,파충류,자전거,2,게임,1986,SKT,사용
김정자,121001-4383262,010-5030-9856,yeongmigim@yu.net,충청북도 청주시 흥덕구 옥산면 호죽리,505나6238,Galaxy A12,연립주택,간호사,B,노랑,기혼,새,SUV,6,쇼핑,1985,KT,미사용
장영미,870725-1795708,010-5548-8300,dnam@yuhanhoesa.org,경상북도 칠곡군 북삼읍 보손리,601마2564,OnePlus 8T,기숙사,의사,AB,초록,기혼,물고기,승용차,4,게임,1995,LG U+,미사용
김현정,680914-2827907,010-5155-3958,eomjeongja@ryugubag.kr,전라북도 남원시 주생면 내동리,877마3232,Xiaomi Redmi Note 10,단독주택,디자이너,B,보라,사별,파충류,버스,6,음악감상,1987,알뜰폰,미사용
최예진,720621-1531090,010-2703-2267,coeminjun@jusighoesa.org,제주특별자치도 제주시 한림읍 동명리,872가2767,iPhone 7,원룸,의사,AB,분홍,기혼,고양이,버스,6,등산,2010,LG U+,미사용
이유진,460128-1616339,010-2770-4579,myeongjason@goigim.com,대전광역시 서구 매노동,825다4855,Galaxy S23,빌라,공무원,A,주황,기혼,파충류,승용차,1,사진,1987,LG U+,미사용
김정희,741006-1582295,010-1944-6907,rgim@yuhanhoesa.org,울산광역시 중구 교동,851사9540,Oppo Find X3,다가구,마케터,O,보라,사별,강아지,SUV,1,여행,2008,SKT,사용
김준호,910809-2886811,010-8092-2748,gyeongsui@coegang.kr,경상남도 창원시 마산회원구 내서읍 용담리,915다7735,Galaxy Note 10,아파트,간호사,A,주황,이혼,물고기,트럭,6,여행,1985,LG U+,미사용
윤영일,980720-1415432,010-7242-9370,xcoe@songryusim.com,서울특별시 성동구 옥수동,792나6759,Xiaomi Redmi Note 10,오피스텔,공무원,O,초록,미혼,새,전기차,6,게임,2003,SKT,사용
안도윤,940423-2903002,010-2592-9043,coeseungmin@yuhanhoesa.kr,울산광역시 북구 화봉동,484마1188,Pixel 4,연립주택,의사,AB,분홍,사별,파충류,전기차,4,독서,1990,LG U+,사용
이정수,110413-4521100,010-2176-6814,eunju12@gimsong.kr,경기도 과천시 막계동,435나6501,Galaxy S10,기숙사,학생,AB,흰색,사별,파충류,SUV,6,영화감상,2002,SKT,미사용
김성호,010214-4807289,010-6826-9150,eunseogim@gimbagyun.net,울산광역시 남구 신정동,406나4932,Galaxy M12,원룸,마케터,A,보라,이혼,파충류,트럭,2,독서,2010,알뜰폰,사용
김은서,901125-2449737,010-4599-9619,jeongung96@gwaggim.com,세종특별자치시 세종시 연동면 용호리,91다1334,Vivo X60,아파트,연구원,B,분홍,미혼,강아지,오토바이,5,운동,1986,KT,사용
이예준,611124-1660792,010-4207-3135,yeongmigim@ju.com,세종특별자치시 세종시 연동면 응암리,366바8397,iPhone 11,아파트,공무원,B,분홍,이혼,고양이,전기차,6,자전거,1993,LG U+,사용
김지아,470517-2863543,010-1250-9685,qgim@gimgimgim.kr,제주특별자치도 서귀포시 서홍동,502다2935,Sony Xperia 1 III,단독주택,회사원,O,노랑,이혼,파충류,오토바이,2,자전거,1991,KT,사용
이은영,680630-2841748,010-6464-7626,bagjeongsun@yuhanhoesa.com,부산광역시 강서구 대항동,839나1390,Xiaomi Mi 11,연립주택,의사,AB,노랑,사별,새,전기차,1,자전거,2006,SKT,사용
우상현,880203-1265024,010-2643-5135,gyeongja43@coeigim.com,전라북도 완주군 소양면 신원리,418가2715,Pixel 7,다가구,개발자,B,흰색,이혼,강아지,전기차,2,수영,1999,KT,미사용
김민석,440513-1032487,010-1794-1413,ijimin@oii.kr,울산광역시 울주군 상북면 이천리,644마6454,iPhone X,다가구,프리랜서,B,파랑,미혼,강아지,트럭,6,음악감상,1993,알뜰폰,미사용
백숙자,550725-2024673,010-8411-1861,yanggyeongsu@gimhwang.com,경기도 수원시 권선구 고색동,35나4944,Vivo X60,연립주택,공무원,B,회색,사별,없음,자전거,5,자전거,1994,SKT,미사용
안준서,530208-2793074,010-6554-4725,hbag@bagca.kr,전라북도 완주군 운주면 산북리,235가7488,Pixel 6,빌라,공무원,A,보라,미혼,없음,SUV,6,쇼핑,2009,알뜰폰,사용
강은주,890805-1848810,010-2878-7437,jiano@jusighoesa.net,제주특별자치도 서귀포시 성산읍 수산리,794나6418,Xiaomi Mi 11,다가구,공무원,O,주황,기혼,강아지,오토바이,2,여행,2001,알뜰폰,미사용
이도현,611118-1651136,010-3938-5129,hwanghayun@hwanggimcoe.kr,충청북도 옥천군 군북면 용호리,953나7583,iPhone XR,연립주택,개발자,B,빨강,미혼,파충류,버스,4,여행,1996,LG U+,미사용
박진우,040510-4778887,010-1724-8954,miyeongbag@ju.kr,광주광역시 동구 대의동,517사6853,iPhone SE,아파트,개발자,AB,보라,사별,고양이,전기차,3,여행,1981,알뜰폰,사용
이은정,711109-2889690,010-8584-1913,kyun@ianbag.kr,경기도 수원시 권선구 세류동,567바1256,Oppo Find X3,빌라,프리랜서,O,파랑,기혼,햄스터,버스,2,수영,1984,알뜰폰,미사용
송영순,951215-1443009,010-7836-6350,iyeongsig@iihong.net,대구광역시 서구 중리동,98나2016,Galaxy S21,다가구,교사,O,회색,미혼,없음,자전거,4,쇼핑,1989,KT,사용
조은주,111013-4585717,010-7539-8438,mgim@ju.org,대구광역시 북구 학정동,720마7544,Huawei Mate 40,단독주택,간호사,B,주황,기혼,없음,승용차,3,영화감상,1983,LG U+,사용
이경숙,950916-2484204,010-9011-4473,haeunseong@jusighoesa.com,부산광역시 기장군 기장읍 만화리,226라7790,Redmi 9,기숙사,연구원,O,회색,사별,햄스터,SUV,6,게임,1990,알뜰폰,미사용
김현주,660628-1389188,010-4210-3175,ncoe@icoegu.org,대구광역시 서구 중리동,723다3492,Galaxy Z Flip,빌라,디자이너,O,흰색,미혼,새,버스,3,여행,1989,SKT,사용
주승현,620616-1072773,010-4921-3974,ohong@jusighoesa.kr,강원도 홍천군 내촌면 도관리,990라9020,Xiaomi Poco F3,빌라,개발자,O,초록,이혼,햄스터,버스,2,사진,2008,SKT,미사용
박영철,520528-2614061,010-5179-1175,simjiyeon@yu.com,충청북도 청주시 청원구 내수읍 은곡리,957마6930,LG V60,원룸,디자이너,AB,노랑,기혼,물고기,자전거,3,자전거,1994,SKT,미사용
이선영,750828-1262720,010-4140-2771,hayungim@yuhanhoesa.com,광주광역시 광산구 명도동,211나6398,Galaxy S22,원룸,디자이너,A,파랑,사별,파충류,오토바이,2,쇼핑,2007,KT,사용
서현주,071215-3794502,010-6151-7394,jeongsun67@sinbag.org,전라북도 완주군 소양면 명덕리,370라7257,iPhone 6S,오피스텔,프리랜서,O,흰색,미혼,없음,전기차,5,독서,1981,SKT,사용
김영길,851016-2934830,010-3702-6514,miyeong41@gimii.com,세종특별자치시 세종시 한솔동,155사9637,Galaxy Z Flip,원룸,개발자,A,보라,미혼,고양이,SUV,3,운동,1991,LG U+,사용
장예원,730510-1024302,010-9528-9731,areumi@jusighoesa.kr,경상남도 밀양시 상동면 신곡리,890나7248,iPhone 14,연립주택,간호사,B,노랑,기혼,새,승용차,2,음악감상,1999,SKT,사용
